BHID,DIP,AT,AZ
16039,64,274.32,4.51
16039,65.5,309.37,5.01
16039,63,335.28,4.65
16039,64,396.24,3.79
16039,65,416.05,3.51
16039,62,457.2,4.11
16039,64.5,484.63,4.51
16230,68,0,2.31
16230,66,36.57,2.31
16230,66,56.69,2.31
16231,90,0,2.31
16231,89,32.3,2.31
16231,90,62.78,2.31
16231,90,81.07,2.31
16232,63,0,2.31
16232,62,25.48,2.31
16233,53,0,2.31
16233,55,30.48,2.31
16233,55,47,2.31
16234,64,0,2.31
16234,64,30.48,2.31
16234,65,60.96,2.31
16234,64,91.44,2.31
16234,64,106.68,2.31
16235,88,0,182.31
16235,88,30.48,182.31
16235,86,46.69,182.31
16236,53,0,2.31
16236,55,30.48,2.31
16236,57,60.96,2.31
16236,58,76.2,2.31
16237,84,0,182.31
16237,84,30.48,182.31
16237,84,60.96,182.31
16238,85,0,182.31
16238,85,30.48,182.31
16238,86,60.96,182.31
16239,45,0,2.31
16239,45,30.48,2.31
16239,46,60.96,2.31
16239,46,85.34,2.31
16240,86,0,182.31
16240,85,30.48,182.31
16240,85,53.34,182.31
16241,66,0,2.31
16241,65,30.48,2.31
16241,66,60.96,2.31
16241,67,91.44,2.31
16241,67,108.2,2.31
16242,90,0,2.31
16242,87,30.48,2.31
16242,87,60.96,2.31
16242,87,91.44,2.31
16242,87,106.98,2.31
16243,43,0,2.31
16243,43,30.48,2.31
16244,82,0,182.31
16244,82,30.48,182.31
16246,45,0,2.31
16246,44,30.48,2.31
16246,43,60.96,2.31
16247,62,0,182.31
16247,62,30.48,182.31
16247,62,60.96,182.31
16247,62,76.5,182.31
16247,62,76.71,182.31
16295,60,0,2.31
16295,57,30.48,2.31
16295,59,50.04,2.31
16353,72,0,2.31
16353,72,30.48,2.31
16354,73,0,182.31
16354,74,30.48,182.31
16354,73,59.74,182.31
16355,80,0,182.31
16355,80,31.08,182.31
16356,84,0,182.31
16356,86,30.48,182.31
16356,85,59.74,182.31
16357,45,0,182.31
16357,44,30.48,182.31
16357,43,53.34,182.31
16358,84,0,2.31
16358,84,31.69,2.31
16358,84,52.73,2.31
16359,56,0,2.31
16359,56,30.48,2.31
16359,56,45.72,2.31
16360,84,0,182.31
16360,84,30.48,182.31
16360,83,60.96,182.31
16361,74,0,2.31
16361,74,34.74,2.31
16362,84.5,0,2.31
16362,84,30.48,360.31
16362,86,60.96,358.31
16362,86,91.44,356.31
16362,87,121.92,354.31
16362,87,152.09,352.33
16362,87,152.4,352.31
16362,88,182.88,352.31
16362,89,213.36,352.31
16382,56,0,2.31
16382,57,30.48,2.31
16383,70,0,182.31
16383,71,29.01,182.31
16383,71,48.76,182.31
16704,70,0,2.31
16704,71,32,2.31
16705,59,0,2.31
16705,60,25.9,2.31
16706,64,0,2.31
16706,63,36.57,2.31
16707,64,0,2.31
16707,65,33.52,2.31
16708,54,0,2.31
16708,56,45.72,2.31
16709,51,0,2.31
16709,52,33.52,2.31
16710,61,0,2.31
16710,62,38.1,2.31
16711,58,0,2.31
16711,59,36.57,2.31
16712,50,0,2.31
16712,48,45.72,2.31
16713,47.5,0,2.31
16713,55,36.57,2.31
16714,54.5,0,2.31
16714,63,44.19,2.31
16715,53.5,0,2.31
16715,58,20.42,2.31
16715,58,35.05,2.31
16716,79,0,182.31
16716,78,9.14,182.31
16716,78,35.05,182.31
16717,63,0,2.31
16717,63,11.27,2.31
16717,64,30.48,2.31
16718,54,0,2.31
16718,53,13.71,2.31
16718,53,30.48,2.31
16728,74,0,2.31
16728,76,9.75,2.31
16728,75,18.28,2.31
16729,74,0,2.31
16729,73,13.71,2.31
16730,74,0,2.31
16730,75,8.22,2.31
16730,75,33.52,2.31
16731,64,0,2.31
16731,64,9.14,2.31
16731,64,24.38,2.31
16732,75,0,182.31
16732,73,12.19,182.31
16732,72,32,182.31
16733,60,0,2.31
16733,59,12.8,2.31
16733,57,36.57,2.31
16734,81,0,182.31
16734,83,10.36,182.31
16734,83,27.43,182.31
16735,83,0,182.31
16735,83,10.66,182.31
16735,83,30.48,182.31
16736,72,0,2.31
16736,72,9.14,2.31
16736,72,32,2.31
17,35,0,353.31
17,35,30.48,353.31
17,30,60.35,353.31
17563,65,0,2.31
17563,64,21.33,2.31
17564,65,0,2.31
17564,64,30.48,2.31
17565,65,0,2.31
17565,65,31.08,2.31
17566,65,0,2.31
17566,64,32.61,2.31
17567,65,0,2.31
17567,64,30.48,2.31
17567,64,46.93,2.31
17568,65,0,2.31
17568,64,30.48,2.31
17568,64,36.57,2.31
17569,65,0,2.31
17569,64,30.48,2.31
17570,65,0,2.31
17570,64,31.08,2.31
17571,65,0,2.31
17571,64,44.8,2.31
17572,65,0,2.31
17572,63,30.48,2.31
17573,65,0,2.31
17573,64,41.45,2.31
17586,70,0,2.31
17586,69,22.25,2.31
17587,45,0,2.31
17587,45,40.53,2.31
17588,90,0,2.31
17588,89,30.48,2.31
17589,45,0,2.31
17589,43,30.48,2.31
17589,42,51.81,2.31
17590,45,0,2.31
17590,45,44.5,2.31
17591,40,0,2.31
17591,40,30.48,2.31
17591,40,62.48,2.31
17592,40,0,2.31
17592,40,30.48,2.31
17592,40,53.03,2.31
17593,90,0,2.31
17593,90,36.57,2.31
17594,85,0,182.31
17594,85,39.01,182.31
17600,75,0,2.31
17600,75,32.91,2.31
17601,65,0,2.31
17601,64,24.38,2.31
17602,90,0,2.31
17602,90,30.48,2.31
17602,90,42.06,2.31
17603,65,0,2.31
17603,65,30.48,2.31
17604,65,0,2.31
17604,64,30.48,2.31
17605,65,0,2.31
17605,65,18.28,2.31
17606,65,0,2.31
17606,65,30.48,2.31
17606,65,42.06,2.31
17607,65,0,2.31
17607,65,29.87,2.31
17608,65,0,2.31
17608,65,30.48,2.31
17609,70,0,2.31
17609,69,30.48,2.31
17609,69,51.81,2.31
17610,50,0,2.31
17610,50,30.48,2.31
17611,30,0,182.31
17611,35,48.76,182.31
17612,75,0,2.31
17612,75,30.48,2.31
17612,75,45.11,2.31
17613,65,0,2.31
17613,64,30.48,2.31
17614,35,0,182.31
17614,37,30.48,182.31
17614,37,49.68,182.31
17615,70,0,2.31
17615,74,30.48,2.31
17615,74,45.11,2.31
17616,50,0,2.31
17616,54,29.87,2.31
17617,40,0,182.31
17617,38,30.48,182.31
17638,70,0,182.31
17638,74,33.52,182.31
17639,80,0,182.31
17639,80,33.52,182.31
17640,90,0,2.31
17640,85,30.48,2.31
17641,70,0,182.31
17641,75,30.48,182.31
17642,65,0,2.31
17642,65,30.48,2.31
17643,65,0,2.31
17643,65,39.01,2.31
17644,65,0,2.31
17644,64,39.01,2.31
17645,65,0,2.31
17645,65,39.01,2.31
17670,63,0,182.31
17670,63,30.48,182.31
17671,60,0,2.31
17671,60,30.48,2.31
17672,45,0,2.31
17672,48,30.48,2.31
17673,65,0,2.31
17673,62,30.48,2.31
17674,65,0,2.31
17674,65,39.01,2.31
17837,85,0,182.31
17837,85,30.48,182.31
17837,85,60.96,182.31
17838,45,0,182.31
17838,44,30.48,182.31
17838,44,60.96,182.31
17839,45,0,182.31
17839,45,30.48,182.31
17840,45,0,182.31
17840,45,30.48,182.31
17840,46,60.96,182.31
17840,46,91.44,182.31
17841,45,0,182.31
17841,48,30.48,183.98
17841,47,60.96,185.65
17841,46,91.44,187.31
17842,45,0,2.31
17842,46,30.48,2.31
17842,47,60.96,2.31
17843,60,0,182.31
17843,62,30.48,182.31
17843,62,60.96,182.31
17843,62,76.2,182.31
17844,45,0,182.31
17844,48,30.48,184.64
17844,48,60.96,186.97
17844,49,91.44,189.29
17844,50,91.74,189.31
17845,45,0,182.31
17845,49,30.48,185.11
17845,48,60.96,187.91
17845,46,76.2,189.31
17846,45,0,2.31
17846,49,30.48,2.31
17846,48,60.96,2.31
17847,60,0,182.31
17847,61,30.48,182.31
17847,61,60.96,182.31
17856,60,0,182.31
17856,59,30.48,182.31
17856,58,60.96,182.31
17856,57,77.72,184.31
17881,55,0,2.31
17881,56,30.48,2.31
17881,55,60.96,2.31
17881,54,76.2,2.31
17882,40,0,2.31
17882,40,30.48,2.31
17882,40,60.96,2.31
17882,39,91.44,2.31
17883,45,0,2.31
17883,45,30.48,2.31
17883,45,60.96,2.31
17884,45,0,2.31
17884,40,30.48,2.31
17884,40,60.96,2.31
17884,41,91.44,2.31
17884,40,106.68,2.31
17885,60,0,2.31
17885,60,30.48,2.31
17885,60,60.96,2.31
17885,59,76.2,2.31
17886,45,0,2.31
17886,50,30.48,2.31
17886,49,60.96,2.31
17890,60,0,2.31
17890,60,30.48,2.31
17890,59,60.96,2.31
17891,40,0,2.31
17891,42,30.48,2.31
17891,41,60.96,2.31
17891,42,91.44,2.31
17891,42,103.63,2.31
17892,45,0,2.31
17892,45,30.48,2.31
17892,45,60.96,2.31
17893,55,0,2.31
17893,57,30.48,2.31
17893,56,60.96,2.31
17894,40,0,2.31
17894,43,30.48,2.31
17894,41,60.96,2.31
17894,41,89.61,2.31
17895,45,0,2.31
17895,47,30.48,2.31
17895,48,60.96,2.31
17895,48,76.2,2.31
17896,43,0,2.31
17896,45,30.48,2.31
17896,44,60.96,2.31
17896,44,76.2,2.31
17897,45,0,2.31
17897,44,30.48,2.31
17897,44,61.87,2.31
17898,60,0,2.31
17898,59,30.48,2.31
17898,59,60.96,2.31
17898,59,82.29,2.31
17899,40,0,2.31
17899,40,30.48,2.31
17899,39,60.96,2.31
17900,60,0,182.31
17900,60,30.48,182.31
17900,59,60.96,182.31
17901,60,0,2.31
17901,59,30.48,2.31
17901,59,60.96,2.31
17901,58,76.2,2.31
17902,40,0,2.31
17902,41,30.48,2.31
17902,41,60.96,2.31
17920,45,0,2.31
17920,46,30.48,2.31
17920,47,48.76,2.31
17921,65,0,2.31
17921,62,30.48,2.31
17921,64,51.81,2.31
17922,40,0,2.31
17922,40,30.48,2.31
17922,40,48.76,2.31
17923,60,0,2.31
17923,60,30.48,2.31
17923,59,54.86,2.31
17924,60,0,2.31
17924,61,30.48,2.31
17924,61,60.96,2.31
17924,61,76.2,2.31
17925,40,0,2.31
17925,40,60.96,2.31
17925,39,82.29,2.31
17926,45,0,2.31
17926,51,30.48,2.31
17926,49,60.96,2.31
17927,45,0,2.31
17927,44,30.48,2.31
17927,44,45.72,2.31
17928,45,0,2.31
17928,43,30.48,2.31
17928,44,45.72,2.31
17929,55,0,182.31
17929,57,30.48,182.31
17929,56,64,182.31
17930,75,0,182.31
17930,75,30.48,182.31
17930,73,51.81,182.31
17931,83,0,182.31
17931,83,30.48,182.31
17931,83,48.76,182.31
17932,75,0,182.31
17932,74,30.48,182.31
17932,75,45.72,182.31
17933,86,0,182.31
17933,85,30.48,182.31
17933,86,51.81,182.31
17934,90,0,2.31
17934,90,30.48,2.31
17934,90,54.86,2.31
17935,83,0,182.31
17935,83,900,182.31
17936,79,0,182.31
17936,79,30.48,182.31
17936,77,48.76,182.31
17937,45,0,2.31
17937,47,30.48,2.31
17937,47,60.96,2.31
17937,47,74.98,2.31
17938,47,0,2.31
17938,49,30.48,2.31
17938,49,60.96,2.31
17938,48,74.98,2.31
17939,45,0,2.31
17939,45,900,2.31
17940,47,0,2.31
17940,48,30.48,2.31
17940,48,60.96,2.31
17940,47,74.98,2.31
17941,45,0,2.31
17941,45,30.48,2.31
17941,44,60.96,2.31
17941,44,74.98,2.31
17942,45,0,2.31
17942,45,900,2.31
17943,47,0,2.31
17943,46,30.48,2.31
17943,46,60.96,2.31
17943,46,74.98,2.31
17944,48,0,2.31
17944,44,30.48,2.31
17944,44,60.96,2.31
17944,43,71.93,2.31
17945,47,0,2.31
17945,47,30.48,2.31
17945,43,60.96,2.31
17945,41,89.91,2.31
17946,45,0,2.31
17946,45,30.48,2.31
17946,45,60.96,2.31
