,BHID,FROM,TO,LITHO_DESC
48207,18104,51.81,65.98,Intermediate to Ultramafic Volcanics
48208,18105,0.0,5.48,Casing
48209,18105,5.48,14.82,Intermediate to Ultramafic Volcanics
48210,18105,14.82,17.09,Early Diorite
48211,18105,17.09,19.41,Shear Zone
48212,18105,19.41,24.07,Early Diorite
48213,18105,24.07,36.71,Early Diorite
48214,18105,36.71,37.93,Intermediate to Ultramafic Volcanics
48215,18105,37.93,38.34,Felsic to Intermediate Dykes
48216,18105,38.34,38.74,Intermediate to Ultramafic Volcanics
48217,18105,38.74,40.29,Early Diorite
48218,18105,40.29,43.43,Diorite
48219,18105,43.43,45.06,Early Diorite
48220,18105,45.06,47.35,Shear Zone
48221,18105,47.35,52.1,Intermediate to Ultramafic Volcanics
48222,18105,52.1,54.92,Diorite
48223,18105,54.92,60.01,Intermediate to Ultramafic Volcanics
48224,18106,0.0,3.62,Casing
48225,18106,3.62,8.88,Intermediate to Ultramafic Volcanics
48226,18106,8.88,14.55,Diorite
48227,18106,14.55,17.37,Intermediate to Ultramafic Volcanics
48228,18106,17.37,38.34,Felsic to Intermediate Dykes
48229,18106,38.34,41.33,Intermediate to Ultramafic Volcanics
48230,18106,41.33,42.3,Diorite
48231,18106,42.3,48.0,Intermediate to Ultramafic Volcanics
48232,18107,0.0,4.29,Casing
48233,18107,4.29,5.07,Intermediate to Ultramafic Volcanics
48234,18107,5.07,6.56,Diorite
48235,18107,6.56,16.09,Intermediate to Ultramafic Volcanics
48236,18107,16.09,18.33,Shear Zone
48237,18107,18.33,24.56,Early Diorite
48238,18107,24.56,25.66,Intermediate to Ultramafic Volcanics
48239,18107,25.66,26.6,Early Diorite
48240,18107,26.6,27.87,Intermediate to Ultramafic Volcanics
48241,18107,27.87,39.07,Early Diorite
48242,18107,39.07,39.89,Diorite
48243,18107,39.89,42.35,Shear Zone
48244,18107,42.35,44.98,Diorite
48245,18107,44.98,48.0,Intermediate to Ultramafic Volcanics
48246,18108,0.0,7.55,Casing
48247,18108,7.55,9.89,Early Diorite
48248,18108,9.89,12.0,Shear Zone
48249,18108,12.0,20.89,Intermediate to Ultramafic Volcanics
48250,18108,20.89,29.99,Intermediate to Ultramafic Volcanics
48251,18109,0.0,6.55,Casing
48252,18109,6.55,7.69,Felsic to Intermediate Dykes
48253,18109,7.69,22.03,Intermediate to Ultramafic Volcanics
48254,18109,22.03,23.98,Diorite
48255,18109,23.98,35.99,Intermediate to Ultramafic Volcanics
48259,18110,0.0,9.23,Casing
48260,18110,9.23,30.93,Intermediate to Ultramafic Volcanics
48261,18110,30.93,33.78,Intermediate to Ultramafic Volcanics
48262,18110,33.78,37.61,Shear Zone
48263,18110,37.61,39.86,Intermediate to Ultramafic Volcanics
48264,18110,39.86,48.75,Intermediate to Ultramafic Volcanics
48265,18110,48.75,49.24,Felsic to Intermediate Dykes
48266,18110,49.24,50.49,Intermediate to Ultramafic Volcanics
48267,18110,50.49,64.86,Intermediate to Ultramafic Volcanics
48268,18110,64.86,68.1,Diorite
48269,18110,68.1,71.99,Intermediate to Ultramafic Volcanics
48270,18111,0.0,5.48,Casing
48271,18111,5.48,18.42,Intermediate to Ultramafic Volcanics
48272,18111,18.42,18.79,Felsic to Intermediate Dykes
48273,18111,18.79,19.4,Intermediate to Ultramafic Volcanics
48274,18111,19.4,21.04,Early Diorite
48275,18111,21.04,26.8,Felsic to Intermediate Dykes
48276,18111,26.8,54.01,Early Diorite
48277,18112,0.0,5.91,Casing
48278,18112,5.91,8.86,Intermediate to Ultramafic Volcanics
48279,18112,8.86,13.53,Intermediate to Ultramafic Volcanics
48280,18112,13.53,15.34,Felsic to Intermediate Dykes
48281,18112,15.34,16.33,Diorite
48282,18112,16.33,23.27,Intermediate to Ultramafic Volcanics
48283,18112,23.27,24.61,Shear Zone
48284,18112,24.61,36.46,Intermediate to Ultramafic Volcanics
48285,18112,36.46,52.09,Shear Zone
48286,18112,52.09,53.94,Diorite
48287,18112,53.94,57.08,Intermediate to Ultramafic Volcanics
48288,18112,57.08,59.98,Early Diorite
48289,18112,59.98,85.16,Intermediate to Ultramafic Volcanics
48290,18112,85.16,90.0,Diorite
48291,18113,0.0,7.2,Casing
48292,18113,7.2,11.43,Intermediate to Ultramafic Volcanics
48293,18113,11.43,17.2,Early Diorite
48294,18113,17.2,23.98,Intermediate to Ultramafic Volcanics
48295,18113,23.98,24.85,Felsic to Intermediate Dykes
48296,18113,24.85,28.43,Intermediate to Ultramafic Volcanics
48297,18113,28.43,29.99,Diorite
48298,18114,0.0,6.87,Casing
48299,18114,6.87,19.59,Early Diorite
48300,18114,19.59,32.97,Felsic to Intermediate Dykes
48301,18114,32.97,34.47,Early Diorite
48302,18114,34.47,49.28,Intermediate to Ultramafic Volcanics
48303,18114,49.28,52.09,Felsic to Intermediate Dykes
48304,18114,52.09,54.01,Intermediate to Ultramafic Volcanics
48305,18115,0.0,7.04,Casing
48306,18115,7.04,8.62,Intermediate to Ultramafic Volcanics
48307,18115,8.62,10.5,Felsic to Intermediate Dykes
48308,18115,10.5,28.43,Intermediate to Ultramafic Volcanics
48309,18115,28.43,29.58,Diorite
48310,18115,29.58,42.09,Shear Zone
48311,18115,42.09,44.31,Intermediate to Ultramafic Volcanics
48312,18115,44.31,45.32,Diorite
48313,18115,45.32,45.72,Intermediate to Ultramafic Volcanics
48314,18115,45.72,51.03,Diorite
48315,18115,51.03,51.32,Felsic to Intermediate Dykes
48316,18115,51.32,52.18,Diorite
48317,18115,52.18,56.76,Early Diorite
48318,18115,56.76,75.01,Intermediate to Ultramafic Volcanics
48319,18116,0.0,6.01,Casing
48320,18116,6.01,15.28,Intermediate to Ultramafic Volcanics
48321,18116,15.28,25.38,Intermediate to Ultramafic Volcanics
48322,18116,25.38,27.15,Felsic to Intermediate Dykes
48323,18116,27.15,33.0,Intermediate to Ultramafic Volcanics
48324,18117,0.0,8.59,Casing
48325,18117,8.59,66.5,Intermediate to Ultramafic Volcanics
48326,18117,66.5,67.66,Diorite
48327,18117,67.66,80.98,Intermediate to Ultramafic Volcanics
48328,18118,0.0,6.49,Casing
48329,18118,6.49,18.08,Early Diorite
48330,18118,18.08,22.57,Felsic to Intermediate Dykes
48331,18118,22.57,29.39,Intermediate to Ultramafic Volcanics
48332,18118,29.39,30.61,Early Diorite
48333,18118,30.61,31.89,Intermediate to Ultramafic Volcanics
48334,18118,31.89,34.74,Early Diorite
48335,18118,34.74,54.01,Intermediate to Ultramafic Volcanics
48336,18119,0.0,8.32,Casing
48337,18119,8.32,11.59,Intermediate to Ultramafic Volcanics
48338,18119,11.59,15.39,Felsic to Intermediate Dykes
48339,18119,15.39,34.36,Intermediate to Ultramafic Volcanics
48340,18119,34.36,45.01,Shear Zone
48341,18119,45.01,52.09,Intermediate to Ultramafic Volcanics
48342,18119,52.09,54.01,Early Diorite
48355,18120,0.0,8.62,Casing
48356,18120,8.62,12.95,Intermediate to Ultramafic Volcanics
48357,18120,12.95,14.17,Intermediate to Ultramafic Volcanics
48358,18120,14.17,16.07,Shear Zone
48359,18120,16.07,26.38,Intermediate to Ultramafic Volcanics
48360,18120,26.38,35.99,Intermediate to Ultramafic Volcanics
48361,18121,0.0,11.21,Casing
48362,18121,11.21,15.05,Felsic to Intermediate Dykes
48363,18121,15.05,20.95,Early Diorite
48364,18121,20.95,50.99,Intermediate to Ultramafic Volcanics
48365,18122,0.0,9.69,Casing
48366,18122,9.69,16.3,Intermediate to Ultramafic Volcanics
48367,18122,16.3,20.31,Shear Zone
48368,18122,20.31,27.15,Intermediate to Ultramafic Volcanics
48369,18122,27.15,32.85,Intermediate to Ultramafic Volcanics
48370,18122,32.85,44.98,Intermediate to Ultramafic Volcanics
48371,18123,0.0,13.77,Casing
48372,18123,13.77,19.0,Early Diorite
48373,18123,19.0,19.47,Felsic to Intermediate Dykes
48374,18123,19.47,19.72,Early Diorite
48375,18123,19.72,20.17,Felsic to Intermediate Dykes
48376,18123,20.17,21.51,Early Diorite
48377,18123,21.51,22.89,Shear Zone
48378,18123,22.89,40.47,Early Diorite
48379,18123,40.47,48.0,Intermediate to Ultramafic Volcanics
48380,18124,0.0,10.78,Casing
48381,18124,10.78,19.62,Intermediate to Ultramafic Volcanics
48382,18124,19.62,20.25,Felsic to Intermediate Dykes
48383,18124,20.25,33.0,Intermediate to Ultramafic Volcanics
48384,18125,0.0,8.83,Casing
48385,18125,8.83,15.94,Intermediate to Ultramafic Volcanics
