,BHID,FROM,TO,LITHO_DESC
51986,18513,78.97,81.04,Early Diorite
51987,18513,81.04,83.94,Felsic to Intermediate Dykes
51988,18513,83.94,85.89,Early Diorite
51989,18513,85.89,88.42,Felsic to Intermediate Dykes
51990,18513,88.42,93.93,Early Diorite
51991,18513,93.93,99.09,Felsic to Intermediate Dykes
51992,18513,99.09,137.16,Early Diorite
51993,18514,0.0,13.41,Casing
51994,18514,13.41,22.7,Felsic to Intermediate Dykes
51995,18514,22.7,35.57,Intermediate to Ultramafic Volcanics
51996,18514,35.57,41.75,Early Diorite
51997,18514,41.75,43.73,Quartz-Tourmaline Veins
51998,18514,43.73,44.5,Intermediate to Ultramafic Volcanics
51999,18514,44.5,45.41,Quartz-Tourmaline Veins
52000,18514,45.41,48.15,Early Diorite
52001,18514,48.15,66.9,Indifferenciated Tuffs
52002,18514,66.9,75.01,Intermediate to Ultramafic Volcanics
52003,18515,0.0,14.56,Casing
52004,18515,14.56,58.33,Indifferenciated Tuffs
52005,18515,58.33,60.56,Felsic to Intermediate Dykes
52006,18515,60.56,74.61,Early Diorite
52007,18515,74.61,77.44,Felsic to Intermediate Dykes
52008,18515,77.44,77.84,Early Diorite
52009,18515,77.84,85.77,Felsic to Intermediate Dykes
52010,18515,85.77,86.98,Intermediate to Ultramafic Volcanics
52011,18516,0.0,10.97,Casing
52012,18516,10.97,23.16,Intermediate to Ultramafic Volcanics
52013,18516,23.16,31.69,Early Diorite
52014,18516,31.69,50.59,Intermediate to Ultramafic Volcanics
52015,18516,50.59,53.34,Shear Zone
52016,18516,53.34,60.65,Early Diorite
52017,18516,60.65,63.39,Shear Zone
52018,18516,63.39,88.69,Early Diorite
52019,18516,88.69,92.65,Felsic to Intermediate Dykes
52020,18516,92.65,106.07,Intermediate to Ultramafic Volcanics
52021,18516,106.07,114.6,Felsic to Intermediate Dykes
52022,18516,114.6,119.17,Intermediate to Ultramafic Volcanics
52023,18517,0.0,12.0,Casing
52024,18517,12.0,14.9,Shear Zone
52025,18517,14.9,84.3,Early Diorite
52026,18517,84.3,91.05,Felsic to Intermediate Dykes
52027,18517,91.05,105.24,Intermediate to Ultramafic Volcanics
52028,18517,105.24,107.71,Felsic to Intermediate Dykes
52029,18517,107.71,113.08,Early Diorite
52030,18517,113.08,114.31,Intermediate to Ultramafic Volcanics
52031,18517,114.31,118.33,Early Diorite
52032,18517,118.33,143.25,Intermediate to Ultramafic Volcanics
52033,18518,0.0,12.58,Casing
52034,18518,12.58,53.06,Felsic to Intermediate Dykes
52035,18518,53.06,58.52,Intermediate to Ultramafic Volcanics
52036,18518,58.52,59.64,Felsic to Intermediate Dykes
52037,18518,59.64,60.96,Intermediate to Ultramafic Volcanics
52038,18519,0.0,10.51,Casing
52039,18519,10.51,13.86,Intermediate to Ultramafic Volcanics
52040,18519,13.86,23.86,Felsic to Intermediate Dykes
52041,18519,23.86,31.08,Early Diorite
52042,18519,31.08,31.88,Felsic to Intermediate Dykes
52043,18519,31.88,84.73,Intermediate to Ultramafic Volcanics
52044,18519,84.73,90.98,Early Diorite
52045,18519,90.98,92.38,Intermediate to Ultramafic Volcanics
52046,18519,92.38,103.81,Early Diorite
52047,18519,103.81,126.21,Granodiorite
52081,18520,0.0,14.35,Casing
52082,18520,14.35,18.89,Early Diorite
52083,18520,18.89,43.28,Intermediate to Ultramafic Volcanics
52084,18520,43.28,46.02,Felsic to Intermediate Dykes
52085,18520,46.02,57.75,Intermediate to Ultramafic Volcanics
52086,18520,57.75,71.99,Felsic to Intermediate Dykes
52087,18520,71.99,89.82,Intermediate to Ultramafic Volcanics
52088,18520,89.82,121.4,Intermediate to Ultramafic Volcanics
52089,18520,121.4,137.16,Felsic to Intermediate Dykes
52090,18521,0.0,8.65,Casing
52091,18521,8.65,19.01,Early Diorite
52092,18521,19.01,26.51,Early Diorite
52093,18521,26.51,33.89,Felsic to Intermediate Dykes
52094,18521,33.89,36.08,Early Diorite
52095,18521,36.08,38.22,Quartz-Tourmaline Veins
52096,18521,38.22,84.85,Early Diorite
52097,18521,84.85,85.77,Quartz-Tourmaline Veins
52098,18521,85.77,102.53,Early Diorite
52099,18521,102.53,109.24,Felsic to Intermediate Dykes
52100,18521,109.24,119.17,Intermediate to Ultramafic Volcanics
52101,18521,119.17,127.22,Early Diorite
52102,18521,127.22,128.13,Intermediate to Ultramafic Volcanics
52103,18522,0.0,13.41,Casing
52104,18522,13.41,23.31,Early Diorite
52105,18522,23.31,49.71,Diorite
52106,18522,49.71,74.03,Early Diorite
52107,18522,74.03,126.33,Intermediate to Ultramafic Volcanics
52108,18522,126.33,137.76,Early Diorite
52109,18522,137.76,144.62,Granodiorite
52110,18522,144.62,147.46,Intermediate to Ultramafic Volcanics
52111,18522,147.46,160.5,Early Diorite
52112,18522,160.5,163.15,Intermediate to Ultramafic Volcanics
52113,18522,163.15,167.64,Early Diorite
52114,18523,0.0,4.26,Casing
52115,18523,4.26,11.15,Intermediate to Ultramafic Volcanics
52116,18523,11.15,30.05,Early Diorite
52117,18523,30.05,72.6,Intermediate to Ultramafic Volcanics
52118,18523,72.6,77.6,Intermediate to Ultramafic Volcanics
52119,18523,77.6,85.37,Felsic to Intermediate Dykes
52120,18523,85.37,94.45,Intermediate to Ultramafic Volcanics
52121,18523,94.45,100.58,Felsic to Intermediate Dykes
52122,18524,0.0,7.01,Casing
52123,18524,7.01,66.59,Intermediate to Ultramafic Volcanics
52124,18524,66.59,67.51,Felsic to Intermediate Dykes
52125,18524,67.51,78.33,Intermediate to Ultramafic Volcanics
52126,18524,78.33,81.53,Felsic to Intermediate Dykes
52127,18524,81.53,101.34,Intermediate to Ultramafic Volcanics
52128,18524,101.34,110.33,Early Diorite
52129,18524,110.33,121.0,Intermediate to Ultramafic Volcanics
52130,18524,121.0,128.47,Indifferenciated Tuffs
52131,18524,128.47,131.82,Felsic to Intermediate Dykes
52132,18524,131.82,140.2,Indifferenciated Tuffs
52133,18524,140.2,149.35,Intermediate to Ultramafic Volcanics
52134,18524,149.35,156.66,Felsic to Intermediate Dykes
52135,18524,156.66,200.98,Intermediate to Ultramafic Volcanics
52136,18525,0.0,8.32,Casing
52137,18525,8.32,36.21,Indifferenciated Tuffs
52138,18525,36.21,45.38,Intermediate to Ultramafic Volcanics
52139,18525,45.38,79.64,Indifferenciated Tuffs
52140,18525,79.64,96.77,Diorite
52141,18525,96.77,127.9,Indifferenciated Tuffs
52142,18525,127.9,133.89,Felsic to Intermediate Dykes
52143,18525,133.89,135.66,Indifferenciated Tuffs
52144,18525,135.66,141.07,Early Diorite
52145,18525,141.07,142.69,Felsic to Intermediate Dykes
52146,18525,142.69,145.52,Early Diorite
52147,18525,145.52,148.14,Shear Zone
52148,18525,148.14,149.07,Shear Zone
52149,18525,149.07,191.23,Intermediate to Ultramafic Volcanics
52150,18525,191.23,191.99,Shear Zone
52151,18525,191.99,197.99,Felsic to Intermediate Dykes
52152,18526,0.0,14.23,Casing
52153,18526,14.23,32.4,Intermediate to Ultramafic Volcanics
52154,18526,32.4,36.97,Felsic to Intermediate Dykes
52155,18526,36.97,47.91,Intermediate to Ultramafic Volcanics
52156,18526,47.91,49.16,Felsic to Intermediate Dykes
52157,18526,49.16,54.8,Intermediate to Ultramafic Volcanics
52158,18526A,0.0,14.02,Casing
52159,18526A,14.02,34.41,Intermediate to Ultramafic Volcanics
52160,18526A,34.41,38.86,Felsic to Intermediate Dykes
52161,18526A,38.86,72.6,Intermediate to Ultramafic Volcanics
52162,18526A,72.6,79.09,Felsic to Intermediate Dykes
52163,18526A,79.09,91.13,Intermediate to Ultramafic Volcanics
52164,18526A,91.13,91.44,Felsic to Intermediate Dykes
52165,18526A,91.44,107.13,Early Diorite
52166,18526A,107.13,107.53,Felsic to Intermediate Dykes
52167,18526A,107.53,117.77,Early Diorite
52168,18526A,117.77,122.01,Intermediate to Ultramafic Volcanics
52169,18528,0.0,8.04,Casing
52170,18528,8.04,28.22,Early Diorite
52171,18528,28.22,38.13,Intermediate to Ultramafic Volcanics
52172,18528,38.13,74.67,Early Diorite
52173,18528,74.67,77.93,Intermediate to Ultramafic Volcanics
52174,18528,77.93,86.68,Early Diorite
52175,18528,86.68,91.77,Intermediate to Ultramafic Volcanics
52176,18528,91.77,110.3,Early Diorite
52177,18528,110.3,111.28,Intermediate to Ultramafic Volcanics
52178,18528,111.28,128.99,Early Diorite
52179,18528,128.99,133.19,Intermediate to Ultramafic Volcanics
52180,18528,133.19,134.72,No Litho
52181,18528,134.72,149.53,Intermediate to Ultramafic Volcanics
52182,18528,149.53,170.32,Early Diorite
52183,18528,170.32,182.88,Intermediate to Ultramafic Volcanics
52184,18528,182.88,200.98,Early Diorite
52185,18529,0.0,13.99,Casing
52186,18529,13.99,42.27,Indifferenciated Tuffs
52187,18529,42.27,64.77,Early Diorite
52188,18529,64.77,65.47,Felsic to Intermediate Dykes
52189,18529,65.47,69.95,Early Diorite
52190,18529,69.95,82.5,Intermediate to Ultramafic Volcanics
52191,18529,82.5,86.1,Felsic to Intermediate Dykes
52192,18529,86.1,88.51,Intermediate to Ultramafic Volcanics
52193,18529,88.51,90.49,Felsic to Intermediate Dykes
52194,18529,90.49,140.2,Intermediate to Ultramafic Volcanics
52217,18530,0.0,12.19,Casing
52218,18530,12.19,18.34,Intermediate to Ultramafic Volcanics
52219,18530,18.34,21.94,Early Diorite
52220,18530,21.94,84.76,Intermediate to Ultramafic Volcanics
52221,18530,84.76,91.47,Early Diorite
52222,18530,91.47,126.52,Intermediate to Ultramafic Volcanics
52223,18530,126.52,133.35,Felsic to Intermediate Dykes
52224,18530,133.35,182.63,Intermediate to Ultramafic Volcanics
52225,18530,182.63,187.48,Felsic to Intermediate Dykes
52226,18530,187.48,190.34,Intermediate to Ultramafic Volcanics
52227,18530,190.34,195.01,Felsic to Intermediate Dykes
52228,18531,0.0,11.43,Casing
52229,18531,11.43,96.01,Intermediate to Ultramafic Volcanics
52230,18532,0.0,13.5,Casing
52231,18532,13.5,21.33,Intermediate to Ultramafic Volcanics
52232,18532,21.33,23.62,Indifferenciated Tuffs
52233,18532,23.62,24.93,Intermediate to Ultramafic Volcanics
52234,18532,24.93,37.3,Indifferenciated Tuffs
52235,18532,37.3,45.14,Intermediate to Ultramafic Volcanics
52236,18532,45.14,61.69,Indifferenciated Tuffs
52237,18532,61.69,65.62,Intermediate to Ultramafic Volcanics
52238,18532,65.62,81.5,Early Diorite
52239,18532,81.5,84.73,Shear Zone
52240,18532,84.73,88.45,Intermediate to Ultramafic Volcanics
52241,18533,0.0,14.5,Casing
52242,18533,14.5,22.67,Intermediate to Ultramafic Volcanics
52243,18533,22.67,40.26,Early Diorite
52244,18533,40.26,55.77,Intermediate to Ultramafic Volcanics
52245,18533,55.77,67.45,Early Diorite
52246,18533,67.45,80.95,Intermediate to Ultramafic Volcanics
52247,18533,80.95,81.99,Early Diorite
52248,18533,81.99,82.96,Intermediate to Ultramafic Volcanics
52249,18533,82.96,84.73,Early Diorite
52250,18533,84.73,87.9,Felsic to Intermediate Dykes
52251,18533,87.9,88.42,Early Diorite
52252,18533,88.42,111.09,Intermediate to Ultramafic Volcanics
52253,18533,111.09,114.36,Felsic to Intermediate Dykes
52254,18533,114.36,133.83,Intermediate to Ultramafic Volcanics
52255,18533,133.83,136.82,Felsic to Intermediate Dykes
52256,18533,136.82,138.19,Intermediate to Ultramafic Volcanics
52257,18533,138.19,139.96,Felsic to Intermediate Dykes
52258,18533,139.96,140.26,Intermediate to Ultramafic Volcanics
52259,18533,140.26,141.45,Felsic to Intermediate Dykes
52260,18533,141.45,160.78,Intermediate to Ultramafic Volcanics
52261,18533,160.78,166.72,Early Diorite
52262,18533,166.72,171.45,Felsic to Intermediate Dykes
52263,18533,171.45,173.21,Early Diorite
52264,18533,173.21,174.22,Felsic to Intermediate Dykes
52265,18533,174.22,176.54,Early Diorite
52266,18533,176.54,177.05,Felsic to Intermediate Dykes
52267,18533,177.05,185.98,Early Diorite
52268,18534,0.0,14.93,Casing
52269,18534,14.93,17.55,Intermediate to Ultramafic Volcanics
52270,18534,17.55,27.09,Early Diorite
52271,18534,27.09,40.99,Intermediate to Ultramafic Volcanics
52272,18534,40.99,42.06,Early Diorite
52273,18534,42.06,43.12,Intermediate to Ultramafic Volcanics
52274,18534,43.12,44.37,Early Diorite
52275,18534,44.37,74.18,Intermediate to Ultramafic Volcanics
52276,18534,74.18,79.46,Felsic to Intermediate Dykes
52277,18534,79.46,83.54,Intermediate to Ultramafic Volcanics
52278,18534,83.54,84.12,Felsic to Intermediate Dykes
52279,18534,84.12,102.87,Intermediate to Ultramafic Volcanics
52280,18534,102.87,108.35,Felsic to Intermediate Dykes
52281,18534,108.35,118.78,Early Diorite
52282,18534,118.78,121.88,Intermediate to Ultramafic Volcanics
52283,18534,121.88,125.3,Early Diorite
52284,18534,125.3,128.1,Diorite
52285,18534,128.1,128.62,Intermediate to Ultramafic Volcanics
52286,18534,128.62,130.18,Early Diorite
52287,18534,130.18,131.12,Intermediate to Ultramafic Volcanics
52288,18534,131.12,146.6,Early Diorite
52289,18536,0.0,9.14,Casing
52290,18536,9.14,17.98,Early Diorite
52291,18536,17.98,25.96,Early Diorite
52292,18536,25.96,42.67,Early Diorite
52293,18537,0.0,12.49,Casing
52294,18537,12.49,16.76,Early Diorite
52295,18537,16.76,73.15,Early Diorite
52328,18545,0.0,11.73,Casing
52329,18545,11.73,17.8,Early Diorite
52330,18545,17.8,38.1,Intermediate to Ultramafic Volcanics
52331,18545,38.1,44.19,Felsic to Intermediate Dykes
52332,18545,44.19,45.72,Shear Zone
52333,18545,45.72,66.44,Intermediate to Ultramafic Volcanics
52334,18545,66.44,71.62,Felsic to Intermediate Dykes
52335,18545,71.62,83.51,Intermediate to Ultramafic Volcanics
52336,18545,83.51,89.91,Early Diorite
52337,18545,89.91,92.5,Intermediate to Ultramafic Volcanics
52338,18545,92.5,94.64,Early Diorite
52339,18545,94.64,102.26,Intermediate to Ultramafic Volcanics
52340,18545,102.26,103.63,Felsic to Intermediate Dykes
52341,18546,0.0,10.54,Casing
52342,18546,10.54,22.34,Indifferenciated Tuffs
52343,18546,22.34,25.54,Early Diorite
52344,18546,25.54,27.95,Intermediate to Ultramafic Volcanics
52345,18546,27.95,54.37,Early Diorite
52346,18546,54.37,89.16,Intermediate to Ultramafic Volcanics
52347,18546,89.16,97.47,Felsic to Intermediate Dykes
52348,18546,97.47,132.43,Intermediate to Ultramafic Volcanics
52349,18546,132.43,133.74,Felsic to Intermediate Dykes
52350,18546,133.74,154.88,Intermediate to Ultramafic Volcanics
52351,18546,154.88,156.36,Shear Zone
52352,18546,156.36,197.75,Intermediate to Ultramafic Volcanics
52353,18546,197.75,201.22,Felsic to Intermediate Dykes
52354,18546,201.22,207.23,Intermediate to Ultramafic Volcanics
52355,18546,207.23,225.15,Felsic to Intermediate Dykes
52356,18546,225.15,238.96,Intermediate to Ultramafic Volcanics
52357,18547,0.0,10.36,Casing
52358,18547,10.36,10.78,Intermediate to Ultramafic Volcanics
52359,18547,10.78,12.03,Granodiorite
52360,18547,12.03,18.01,Intermediate to Ultramafic Volcanics
52361,18547,18.01,59.55,Intermediate to Ultramafic Volcanics
52362,18547,59.55,60.8,Intermediate to Ultramafic Volcanics
52363,18547,60.8,86.98,Intermediate to Ultramafic Volcanics
52364,18547,86.98,88.02,Intermediate to Ultramafic Volcanics
52365,18547,88.02,94.48,Intermediate to Ultramafic Volcanics
52366,18548,0.0,10.97,Casing
52367,18548,10.97,51.57,Early Diorite
52368,18548,51.57,60.96,Intermediate to Ultramafic Volcanics
52369,18549,0.0,11.73,Casing
52370,18549,11.73,16.52,Felsic to Intermediate Dykes
52371,18549,16.52,39.47,Early Diorite
52372,18549,39.47,43.86,Intermediate to Ultramafic Volcanics
52373,18549,43.86,53.58,Felsic to Intermediate Dykes
52374,18549,53.58,58.03,Intermediate to Ultramafic Volcanics
52375,18549,58.03,61.56,Shear Zone
52376,18549,61.56,89.36,Intermediate to Ultramafic Volcanics
52377,18549,89.36,104.15,Felsic to Intermediate Dykes
52378,18549,104.15,110.0,Intermediate to Ultramafic Volcanics
52383,18550,0.0,12.37,Casing
52384,18550,12.37,21.97,Intermediate to Ultramafic Volcanics
52385,18550,21.97,23.22,Shear Zone
52386,18550,23.22,26.27,Early Diorite
52387,18550,26.27,53.7,Early Diorite
52388,18550,53.7,63.0,Early Diorite
52389,18551,0.0,14.26,Casing
52390,18551,14.26,44.74,Intermediate to Ultramafic Volcanics
52391,18551,44.74,52.91,Early Diorite
52392,18551,52.91,53.85,Early Diorite
52393,18551,53.85,54.71,Intermediate to Ultramafic Volcanics
52394,18551,54.71,70.16,Early Diorite
52395,18551,70.16,72.6,Felsic to Intermediate Dykes
52396,18551,72.6,80.98,Early Diorite
52397,18552,0.0,12.37,Casing
52398,18552,12.37,38.89,Intermediate to Ultramafic Volcanics
52399,18552,38.89,39.8,Felsic to Intermediate Dykes
52400,18552,39.8,46.66,Intermediate to Ultramafic Volcanics
52401,18552,46.66,48.31,Early Diorite
52402,18552,48.31,68.58,Intermediate to Ultramafic Volcanics
52403,18558,0.0,4.87,Casing
52404,18558,4.87,6.4,Early Diorite
52405,18558,6.4,23.46,Intermediate to Ultramafic Volcanics
52406,18558,23.46,23.89,Felsic to Intermediate Dykes
52407,18558,23.89,25.9,Intermediate to Ultramafic Volcanics
52408,18558,25.9,29.71,Indifferenciated Tuffs
52409,18558,29.71,32.61,Felsic to Intermediate Dykes
52410,18558,32.61,33.52,Shear Zone
52411,18558,33.52,39.31,Indifferenciated Tuffs
52412,18558,39.31,39.53,Felsic to Intermediate Dykes
52413,18558,39.53,46.78,Indifferenciated Tuffs
52414,18558,46.78,67.87,Intermediate to Ultramafic Volcanics
52415,18558,67.87,82.29,Indifferenciated Tuffs
52416,18558,82.29,98.99,Intermediate to Ultramafic Volcanics
52417,18558,98.99,113.26,Early Diorite
52418,18558,113.26,123.44,Intermediate to Ultramafic Volcanics
52419,18558,123.44,125.69,Felsic to Intermediate Dykes
52420,18558,125.69,134.5,Intermediate to Ultramafic Volcanics
52421,18558,134.5,138.01,Felsic to Intermediate Dykes
52422,18558,138.01,147.0,Intermediate to Ultramafic Volcanics
52423,18558,147.0,149.41,Intermediate to Ultramafic Volcanics
52424,18558,149.41,153.0,Intermediate to Ultramafic Volcanics
52425,18558,153.0,162.7,Intermediate to Ultramafic Volcanics
52426,18558,162.7,169.37,Early Diorite
52427,18558,169.37,169.77,Intermediate to Ultramafic Volcanics
52428,18558,169.77,172.36,Felsic to Intermediate Dykes
52429,18558,172.36,174.4,Intermediate to Ultramafic Volcanics
52430,18558,174.4,178.36,Early Diorite
52431,18558,178.36,185.19,Intermediate to Ultramafic Volcanics
52432,18558,185.19,186.14,Felsic to Intermediate Dykes
52433,18558,186.14,187.2,Intermediate to Ultramafic Volcanics
52434,18558,187.2,195.19,Early Diorite
52435,18558,195.19,199.64,Intermediate to Ultramafic Volcanics
52436,18558,199.64,215.15,Intermediate to Ultramafic Volcanics
52437,18558,215.15,216.37,Early Diorite
52438,18558,216.37,222.29,Felsic to Intermediate Dykes
52439,18558,222.29,227.16,Early Diorite
52440,18558,227.16,232.07,Intermediate to Ultramafic Volcanics
52441,18558,232.07,235.54,Felsic to Intermediate Dykes
52442,18558,235.54,251.3,Intermediate to Ultramafic Volcanics
52451,18571,0.0,4.38,Casing
52452,18571,4.38,6.15,Diabase
52453,18571,6.15,59.98,Intermediate to Ultramafic Volcanics
52454,18571,59.98,90.0,Felsic to Intermediate Dykes
52455,18571,90.0,140.55,Intermediate to Ultramafic Volcanics
52456,18571,140.55,143.83,Felsic to Intermediate Dykes
52457,18571,143.83,181.56,Intermediate to Ultramafic Volcanics
52458,18571,181.56,182.78,Felsic to Intermediate Dykes
52459,18571,182.78,183.0,Intermediate to Ultramafic Volcanics
52507,18590,0.0,12.49,Casing
52508,18590,12.49,73.97,Intermediate to Ultramafic Volcanics
52509,18590,73.97,75.71,Early Diorite
52510,18590,75.71,77.17,Intermediate to Ultramafic Volcanics
52511,18590,77.17,77.54,Early Diorite
52512,18590,77.54,88.23,Intermediate to Ultramafic Volcanics
52513,18590,88.23,90.06,Granodiorite
52514,18590,90.06,107.86,Intermediate to Ultramafic Volcanics
52515,18590,107.86,116.95,Early Diorite
52516,18590,116.95,121.03,Intermediate to Ultramafic Volcanics
52517,18590,121.03,129.05,Early Diorite
52518,18590,129.05,138.31,Intermediate to Ultramafic Volcanics
52519,18590,138.31,138.89,Felsic to Intermediate Dykes
52520,18590,138.89,140.23,Intermediate to Ultramafic Volcanics
52521,18590,140.23,142.67,Felsic to Intermediate Dykes
52522,18590,142.67,144.47,Intermediate to Ultramafic Volcanics
52523,18590,144.47,145.99,No Litho
52524,18590,145.99,146.91,Intermediate to Ultramafic Volcanics
52525,18590,146.91,152.12,Felsic to Intermediate Dykes
52526,18590,152.12,158.34,Early Diorite
52527,18591,0.0,12.55,Casing
52528,18591,12.55,64.46,Intermediate to Ultramafic Volcanics
52529,18591,64.46,67.36,Diabase
52530,18591,67.36,71.93,No Litho
52531,18591,71.93,106.68,Early Diorite
52532,18592,0.0,7.31,Casing
52533,18592,7.31,46.48,Early Diorite
52534,18592,46.48,48.46,Intermediate to Ultramafic Volcanics
52535,18592,48.46,51.08,Early Diorite
52536,18592,51.08,54.4,Intermediate to Ultramafic Volcanics
52537,18592,54.4,58.88,Early Diorite
52538,18592,58.88,87.47,Intermediate to Ultramafic Volcanics
52539,18592,87.47,139.72,Early Diorite
52540,18592,139.72,183.48,Indifferenciated Tuffs
52541,18592,183.48,190.53,Early Diorite
52542,18592,190.53,191.14,Intermediate to Ultramafic Volcanics
52543,18592,191.14,191.99,Early Diorite
52544,18593,0.0,10.66,Casing
52545,18593,10.66,12.95,Early Diorite
52546,18593,12.95,24.74,Intermediate to Ultramafic Volcanics
52547,18593,24.74,36.17,Early Diorite
52548,18593,36.17,38.22,Intermediate to Ultramafic Volcanics
52549,18593,38.22,40.05,Early Diorite
52550,18593,40.05,64.77,Intermediate to Ultramafic Volcanics
52551,18593,64.77,69.55,Shear Zone
52552,18593,69.55,92.44,Intermediate to Ultramafic Volcanics
52553,18593,92.44,114.42,Early Diorite
52554,18593,114.42,128.01,Felsic to Intermediate Dykes
52555,18593,128.01,156.88,Intermediate to Ultramafic Volcanics
52556,18593,156.88,164.19,Felsic to Intermediate Dykes
52557,18593,164.19,167.42,Intermediate to Ultramafic Volcanics
52558,18593,167.42,174.89,Early Diorite
52559,18593,174.89,175.77,Felsic to Intermediate Dykes
52560,18593,175.77,201.16,Early Diorite
52561,18594,0.0,11.27,Casing
52562,18594,11.27,16.55,Indifferenciated Tuffs
52563,18594,16.55,36.54,Early Diorite
52564,18594,36.54,38.98,Intermediate to Ultramafic Volcanics
52565,18594,38.98,51.29,Early Diorite
52566,18594,51.29,53.58,Early Diorite
52567,18594,53.58,66.69,Early Diorite
52568,18594,66.69,76.71,Early Diorite
52569,18594,76.71,81.41,Intermediate to Ultramafic Volcanics
52570,18594,81.41,86.34,Felsic to Intermediate Dykes
52571,18594,86.34,90.15,Intermediate to Ultramafic Volcanics
52572,18594,90.15,95.73,Felsic to Intermediate Dykes
52573,18594,95.73,110.97,Early Diorite
52574,18594,110.97,117.65,Early Diorite
52575,18594,117.65,123.35,Early Diorite
52576,18594,123.35,125.6,Felsic to Intermediate Dykes
52577,18594,125.6,135.87,Early Diorite
52578,18594,135.87,136.58,Felsic to Intermediate Dykes
52579,18594,136.58,140.2,Early Diorite
52580,18595,0.0,14.69,Casing
52581,18595,14.69,19.21,Felsic to Intermediate Dykes
52582,18595,19.21,20.61,Intermediate to Ultramafic Volcanics
52583,18595,20.61,20.8,Shear Zone
52584,18595,20.8,21.06,Felsic to Intermediate Dykes
52585,18595,21.06,29.56,Intermediate to Ultramafic Volcanics
52586,18595,29.56,32.03,Shear Zone
52587,18595,32.03,36.6,Felsic to Intermediate Dykes
52588,18595,36.6,38.28,Shear Zone
52589,18595,38.28,45.33,Felsic to Intermediate Dykes
52590,18595,45.33,45.96,Intermediate to Ultramafic Volcanics
52591,18595,45.96,56.69,Felsic to Intermediate Dykes
52592,18595,56.69,60.47,Shear Zone
52593,18595,60.47,63.33,Felsic to Intermediate Dykes
52594,18595,63.33,68.45,Shear Zone
52595,18595,68.45,98.41,Felsic to Intermediate Dykes
52596,18595,98.41,108.44,Intermediate to Ultramafic Volcanics
52597,18595,108.44,109.92,Early Diorite
52598,18595,109.92,120.12,Intermediate to Ultramafic Volcanics
52599,18595,120.12,128.42,Intermediate to Ultramafic Volcanics
52600,18595,128.42,137.75,Intermediate to Ultramafic Volcanics
52601,18595,137.75,152.4,Intermediate to Ultramafic Volcanics
52602,18596,0.0,10.21,Casing
52603,18596,10.21,16.23,Intermediate to Ultramafic Volcanics
52604,18596,16.23,24.01,Early Diorite
52605,18596,24.01,43.69,Intermediate to Ultramafic Volcanics
52606,18596,43.69,44.98,Felsic to Intermediate Dykes
52607,18596,44.98,45.35,Shear Zone
52608,18596,45.35,51.45,Felsic to Intermediate Dykes
52609,18596,51.45,53.55,Shear Zone
52610,18596,53.55,55.16,Shear Zone
52611,18596,55.16,56.89,Shear Zone
52612,18596,56.89,62.08,Shear Zone
52613,18596,62.08,94.79,Felsic to Intermediate Dykes
52614,18597,0.0,10.97,Casing
52615,18597,10.97,17.83,Felsic to Intermediate Dykes
52616,18597,17.83,23.68,Intermediate to Ultramafic Volcanics
52617,18597,23.68,40.53,Felsic to Intermediate Dykes
52618,18597,40.53,46.02,Intermediate to Ultramafic Volcanics
52619,18598,0.0,9.57,Casing
52620,18598,9.57,21.76,Intermediate to Ultramafic Volcanics
52621,18598,21.76,27.09,Shear Zone
52622,18598,27.09,28.89,Intermediate to Ultramafic Volcanics
52623,18598,28.89,31.39,Felsic to Intermediate Dykes
52624,18598,31.39,45.41,Intermediate to Ultramafic Volcanics
52625,18598,45.41,50.29,Felsic to Intermediate Dykes
52626,18598,50.29,63.09,Intermediate to Ultramafic Volcanics
52627,18598,63.09,74.06,Felsic to Intermediate Dykes
52628,18598,74.06,92.35,Intermediate to Ultramafic Volcanics
52629,18598,92.35,97.35,Diorite
52630,18598,97.35,131.97,Intermediate to Ultramafic Volcanics
52631,18598,131.97,143.56,Felsic to Intermediate Dykes
52632,18599,0.0,13.1,Casing
52633,18599,13.1,40.38,Intermediate to Ultramafic Volcanics
52634,18599,40.38,48.46,Intermediate to Ultramafic Volcanics
52635,18599,48.46,53.49,Intermediate to Ultramafic Volcanics
52636,18599,53.49,63.61,Intermediate to Ultramafic Volcanics
52637,18599,63.61,74.73,Early Diorite
52638,18599,74.73,92.23,Intermediate to Ultramafic Volcanics
52639,18599,92.23,93.57,Shear Zone
52640,18599,93.57,96.31,Intermediate to Ultramafic Volcanics
52641,18599,96.31,107.92,Early Diorite
52642,18599,107.92,110.03,Early Diorite
52643,18599,110.03,118.9,Intermediate to Ultramafic Volcanics
52644,18599,118.9,121.7,Early Diorite
52645,18599,121.7,139.32,Intermediate to Ultramafic Volcanics
52646,18599,139.32,144.35,Early Diorite
52647,18599,144.35,175.99,Intermediate to Ultramafic Volcanics
52666,18600,0.0,9.99,Casing
52667,18600,9.99,46.63,Indifferenciated Tuffs
52668,18600,46.63,50.32,Early Diorite
52669,18600,50.32,149.35,Indifferenciated Tuffs
52670,18601,0.0,11.43,Casing
52671,18601,11.43,19.96,Early Diorite
52672,18601,19.96,22.86,Intermediate to Ultramafic Volcanics
52673,18601,22.86,44.95,Early Diorite
52674,18601,44.95,61.56,Shear Zone
52675,18601,61.56,64.0,Felsic to Intermediate Dykes
52676,18601,64.0,81.07,Early Diorite
52677,18601,81.07,107.28,Shear Zone
