,BHID,XCOLLAR,YCOLLAR,ZCOLLAR,AZ_UTM,DIP,LENGTH_M,NO_DATA,DOUBTFUL_C
9767,18486,294525.6,5331040.39,310.36,2.31,-65.0,50.99,,
9768,18487,294618.33,5331080.93,311.17,182.31,-75.0,50.99,,
9769,18488,294245.69,5331142.22,311.17,2.31,-90.0,138.01,,
9770,18489,294213.53,5331140.44,310.88,182.31,-82.0,124.51,,
9772,18490,294160.52,5331186.85,309.61,182.31,-59.0,168.0,,
9773,18491,294612.16,5331038.6,315.67,182.31,-67.0,24.29,,
9774,18492,294612.14,5331037.99,315.67,182.31,-45.0,22.86,,
9775,18493,294309.54,5331252.48,314.65,182.31,-63.0,113.69,,
9776,18494,294407.7,5331190.39,312.1,182.31,-57.0,107.99,,
9777,18495,294341.94,5331146.23,313.69,182.31,-61.0,98.99,,
9778,18496,294359.96,5331140.01,313.69,2.31,-75.0,183.0,,
9779,18497,294389.65,5331200.4,311.51,182.31,-74.0,147.0,,
9780,18498,294295.74,5331261.88,308.71,182.31,-70.0,122.68,,
9781,18499,294413.01,5331208.63,311.31,182.31,-73.0,153.0,,
9784,18500,294470.66,5331274.97,309.58,182.31,-70.0,189.0,,
9785,18501,294468.63,5331224.72,306.48,182.31,-60.0,75.01,,
9786,18502,294464.89,5331131.49,314.1,182.31,-57.0,111.0,,
9787,18503,294498.24,5331167.05,313.58,2.31,-45.0,106.68,,
9788,18504,294499.25,5331188.98,312.43,2.31,-45.0,122.01,,
9793,18509,295222.75,5331090.61,318.58,2.31,-45.0,76.5,,
9795,18510,294671.57,5331265.86,314.3,182.31,-76.0,190.75,,
9796,18511,294666.62,5331113.54,314.3,182.31,-61.0,190.5,,
9797,18512,294703.48,5331263.08,314.34,182.31,-77.0,189.0,,
9798,18513,294702.95,5331249.95,314.94,182.31,-68.0,137.16,,
9799,18514,294700.65,5331193.0,315.99,182.31,-78.0,75.01,,
9800,18515,294700.19,5331181.76,317.69,182.31,-52.0,86.98,,
9801,18516,294744.94,5331269.88,311.26,2.31,-52.0,119.17,,
9802,18517,294743.53,5331234.89,316.02,182.31,-82.0,143.25,,
9803,18518,294739.55,5331212.05,316.72,182.31,-84.0,60.96,,
9804,18519,294741.43,5331183.14,316.38,182.31,-52.0,126.21,,
9806,18520,294779.01,5331207.92,315.03,2.31,-90.0,137.16,,
9807,18521,294777.33,5331166.41,316.04,2.31,-86.0,128.13,,
9808,18522,294776.68,5331149.69,316.68,182.31,-57.0,167.64,,
9809,18523,294834.11,5331211.09,316.02,182.31,-80.0,100.58,,
9810,18524,294830.98,5331133.76,316.63,2.31,-65.0,200.98,,
9811,18525,294830.77,5331130.72,316.67,2.31,-76.0,197.99,,
9812,18526,294635.48,5331166.99,313.88,2.31,-45.0,54.8,,
9813,18526A,294635.39,5331164.86,313.88,2.31,-45.0,122.01,,
9814,18528,294634.9,5331151.15,315.04,182.31,-67.0,200.98,,
9815,18529,294608.14,5331281.49,310.56,182.31,-45.0,140.2,,
9817,18530,294603.37,5331163.72,314.03,2.31,-67.0,195.01,,
9818,18531,294603.37,5331163.72,314.03,2.31,-84.0,96.01,,
9819,18532,294603.37,5331163.72,314.03,182.31,-63.0,88.45,,
9820,18533,294575.91,5331276.69,310.28,182.31,-62.0,185.98,,
9821,18534,294576.16,5331282.78,310.28,182.31,-40.0,146.6,,
9822,18536,294562.84,5331179.69,313.18,2.31,-90.0,42.67,,
9823,18537,294562.84,5331179.69,313.18,182.31,-45.0,73.15,,
9827,18545,294617.14,5331166.21,314.15,2.31,-57.0,103.63,,
