,BHID,XCOLLAR,YCOLLAR,ZCOLLAR,AZ_UTM,DIP,LENGTH_M,NO_DATA,DOUBTFUL_C
9828,18546,294617.13,5331165.91,314.15,2.31,-71.0,238.96,,
9829,18547,294617.12,5331165.6,314.15,2.31,-86.0,94.48,,
9830,18548,294639.82,5331159.8,314.21,2.31,-84.0,60.96,,
9831,18549,294674.63,5331229.23,314.94,182.31,-74.0,110.0,,
9833,18550,294672.44,5331175.05,315.63,182.31,-70.0,63.0,,
9834,18551,294687.83,5331215.51,314.9,182.31,-70.0,80.98,,
9835,18552,294755.4,5331188.41,317.68,182.31,-64.0,68.58,,
9836,18558,294946.03,5331037.75,319.26,2.31,-45.0,251.3,,
9839,18571,295042.28,5331040.14,322.14,2.31,-82.0,183.0,,
9858,18590,294712.48,5331147.68,316.31,179.31,-46.0,158.34,,
9859,18591,294730.66,5331143.92,316.6,2.31,-78.0,106.68,,
9860,18592,294726.81,5331044.94,316.99,182.31,-78.0,191.99,,
9861,18593,294726.44,5331038.85,316.94,182.31,-58.0,201.16,,
9862,18594,294726.44,5331038.85,316.94,179.31,-40.0,140.2,,
9863,18595,294079.64,5331224.26,309.04,182.31,-70.0,152.4,,
9864,18596,294078.51,5331196.12,309.35,182.31,-78.0,94.79,,
9865,18597,294077.97,5331183.75,309.82,182.31,-76.0,46.02,,
9866,18598,294077.7,5331177.02,310.12,182.31,-72.0,143.56,,
9867,18599,294077.7,5331177.02,310.12,182.31,-45.0,175.99,,
9870,18600,294071.4,5331130.63,310.38,2.31,-85.0,149.35,,
9871,18601,294071.4,5331130.63,310.38,182.31,-80.0,140.66,,
9872,18602,294071.4,5331130.63,310.38,182.31,-45.0,106.68,,
9884,18613,294006.28,5331222.68,309.15,182.31,-45.0,206.01,,
9885,18614,294005.2,5331195.27,309.83,182.31,-81.0,128.99,,
9886,18615,294004.49,5331177.88,310.19,182.31,-74.0,129.02,,
9887,18616,294004.0,5331167.22,310.7,182.31,-49.0,143.01,,
9888,18617,294002.52,5331130.64,312.77,182.31,-80.0,126.49,,
9889,18618,294425.13,5331284.37,310.8,182.31,-68.0,154.68,,
9890,18619,294423.99,5331257.55,310.14,182.31,-70.0,116.12,,
9892,18620,294423.99,5331257.55,310.14,182.31,-56.0,73.15,,
9893,18621,294423.05,5331229.89,310.74,182.31,-67.0,80.98,,
9894,18622,294421.82,5331200.96,311.9,182.31,-86.0,112.98,,
9895,18623,294421.85,5331200.95,311.6,182.31,-70.0,111.25,,
9896,18624,294421.82,5331200.96,311.9,182.31,-45.0,140.2,,
9897,18625,294415.35,5331039.54,311.52,2.31,-78.0,108.2,,
9898,18626,294415.35,5331039.54,311.52,182.31,-74.0,106.68,,
9899,18627,294414.69,5331025.48,311.96,182.31,-74.0,45.99,,
9904,18631,294712.48,5331147.68,316.47,182.31,-70.0,195.01,,
9905,18632,294684.89,5331142.76,315.95,182.31,-75.0,146.3,,
9906,18635,294683.66,5331112.27,316.08,182.31,-66.0,193.24,,
9907,18637,294703.56,5331152.59,316.3,182.31,-69.0,195.01,,
9909,18642,294805.36,5331066.78,316.64,182.31,-77.0,143.25,,
9910,18648,294505.63,5331009.81,315.56,2.31,-90.0,45.99,,
9911,18649,294503.77,5331021.84,315.68,2.31,-90.0,52.12,,
9913,18650,294497.9,5331042.7,311.74,2.31,-47.0,58.0,,
9914,18651,294497.9,5331042.7,311.74,2.31,-84.0,49.01,,
9915,18652,294468.77,5331003.52,317.2,2.31,-80.0,54.86,,
9916,18653,294469.94,5331039.9,311.73,182.31,-53.0,60.99,,
9917,18654,294469.94,5331039.9,311.73,2.31,-65.0,106.68,,
9918,18655,294469.94,5331039.9,311.73,2.31,-90.0,56.99,,
9919,18656,294433.3,5331036.92,311.56,182.31,-47.0,45.99,,
9920,18657,294433.3,5331036.92,311.56,182.31,-82.0,49.01,,
9921,18658,294433.91,5331046.72,311.6,2.31,-90.0,46.63,,
9922,18659,294388.87,5331031.19,311.52,182.31,-45.0,49.01,,
9924,18660,294388.05,5331044.92,312.53,2.31,-90.0,76.5,,
9925,18662,294593.54,5330919.17,321.17,2.31,-73.0,92.65,,
9926,18663,294730.66,5331143.92,316.6,182.31,-78.0,109.72,,
9927,18667,294490.18,5331193.31,312.56,182.31,-47.0,33.52,,
9933,18672,294535.55,5331183.85,313.29,182.31,-76.0,51.81,,
9934,18673,294535.55,5331183.85,313.29,182.31,-45.0,30.78,,
9946,18684,294570.64,5331178.77,313.32,2.31,-90.0,41.14,,
9947,18685,294447.22,5331036.42,311.65,2.31,-77.0,61.26,,
9948,18686,294453.81,5331048.36,312.44,2.31,-62.0,30.78,,
9949,18687,294453.81,5331048.36,312.44,2.31,-90.0,54.98,,
9950,18688,294453.81,5331048.36,312.44,182.31,-45.0,39.92,,
9951,18689,294393.87,5331186.53,312.1,182.31,-75.0,44.19,,
9953,18690,294392.7,5331160.65,314.18,182.31,-71.0,39.62,,
9954,18691,294451.84,5331152.76,313.72,2.31,-90.0,24.5,,
9955,18692,294433.81,5331159.59,313.24,182.31,-40.0,41.14,,
9956,18693,294433.9,5331159.59,313.73,2.31,-90.0,39.62,,
9957,18694,294406.29,5331156.44,313.66,2.31,-90.0,36.88,,
9958,18695,294451.27,5331136.31,314.16,2.31,-90.0,24.5,,
9959,18696,294569.8,5331071.21,314.9,272.31,-50.0,28.98,,
9960,18697,294571.75,5331071.22,315.16,2.31,-90.0,60.99,,
9961,18698,294570.41,5331076.62,314.74,272.31,-50.0,28.98,,
9962,18699,294572.07,5331076.73,315.17,2.31,-90.0,60.01,,
9965,18700,294421.95,5331167.09,312.87,182.31,-60.0,54.98,,
9966,18701,294479.99,5331167.79,313.07,2.31,-80.0,54.86,,
9967,18702,294516.02,5331153.52,313.4,2.31,-65.0,30.51,,
9968,18703,294523.85,5331174.25,313.78,2.31,-90.0,52.12,,
9969,18704,294550.46,5331167.69,314.1,182.31,-75.0,48.76,,
9970,18705,294583.25,5331163.92,314.14,2.31,-85.0,46.63,,
9971,18706,294611.5,5331160.95,313.95,2.31,-90.0,54.98,,
9972,18708,295150.52,5331134.29,326.92,182.31,-62.0,91.44,,
9973,18709,294732.21,5331045.64,316.17,182.31,-85.0,79.24,,
9975,18710,294742.1,5331048.9,317.47,182.31,-85.0,79.24,,
9976,18712,294757.33,5331046.75,316.89,2.31,-90.0,76.2,,
9977,18713,294766.38,5331047.94,316.89,2.31,-90.0,76.2,,
9978,18714,294778.83,5331051.99,316.84,227.31,-85.0,76.5,,
9979,18715,294758.45,5331037.56,317.19,2.31,-90.0,76.2,,
9980,18716,294759.58,5331029.28,316.8,2.31,-90.0,76.2,,
9981,18717,294760.85,5331019.22,316.95,2.31,-90.0,76.5,,
10006,18741,294076.22,5331187.85,309.4,98.31,-47.0,64.0,,
10007,18742,294076.22,5331187.85,309.4,124.31,-67.0,55.16,,
10008,18743,294076.1,5331175.07,309.5,57.31,-45.0,80.01,,
10009,18744,294059.31,5331172.67,309.62,2.31,-83.0,106.37,,
10010,18745,294040.14,5331153.5,310.62,2.31,-65.0,92.99,,
10011,18746,294073.58,5331134.72,310.78,132.31,-57.0,111.0,,
10012,18747,294073.58,5331134.72,310.78,154.31,-68.0,98.99,,
10013,18748,294073.58,5331134.72,310.78,182.31,-60.0,63.0,,
10014,18749,294073.58,5331134.72,310.78,182.31,-70.0,101.98,,
10016,18750,294053.63,5331146.88,310.23,182.31,-70.0,98.99,,
