,BHID,AT,AZ,DIP
10469,14976,397.76,7.81,63.0
10470,14977,0.0,2.31,75.0
10471,14977,87.78,360.53,76.0
10472,14977,122.83,359.81,75.5
10473,14977,173.12,360.75,75.0
10474,14977,240.18,361.99,75.0
10475,14977,284.37,2.81,76.0
10476,14977,394.1,359.81,76.0
10477,14977,395.63,359.36,76.0
10478,14977,395.78,359.31,76.0
10479,14978,0.0,182.31,65.0
10480,14978,14.63,182.31,65.0
10481,14978,39.01,182.31,64.0
10482,14978,57.3,182.31,63.0
10483,14978,75.59,182.31,62.0
10484,14978,130.45,182.31,60.5
10485,14978,173.12,182.31,60.0
10486,14978,191.41,182.31,59.0
10487,14978,270.66,182.31,58.0
10488,14978,313.33,182.31,57.0
10489,14978,343.81,182.31,55.0
10490,14978,368.19,182.31,54.0
10522,15,0.0,353.31,36.0
10523,15,30.48,353.31,37.0
10524,15,60.96,353.31,-35.0
10525,15,91.44,353.31,-31.0
10566,15025,0.0,182.31,49.0
10567,15025,14.63,182.31,49.0
10568,15025,39.01,182.31,48.0
10569,15025,142.64,182.31,47.0
10570,15025,185.31,182.31,46.0
10571,15026,0.0,182.31,50.0
10572,15026,112.16,191.81,50.0
10573,15026,136.55,191.81,49.0
10574,15026,185.31,191.81,48.0
10575,15026,231.03,195.31,47.0
10576,15026,264.56,195.31,46.0
11511,15273,0.0,361.96,60.0
11512,15273,18.28,360.81,59.0
11513,15273,36.57,360.51,58.0
11514,15273,103.63,359.72,59.5
11515,15273,149.35,359.31,53.0
11516,15273,225.55,4.21,52.5
11517,15273,304.8,362.11,51.5
11518,15273,335.28,360.64,52.0
11519,15273,341.37,360.51,52.0
11520,15273,344.42,360.44,51.0
11521,15273,350.52,360.31,51.0
11522,15273,356.61,360.17,51.0
11523,15273,362.71,360.04,51.0
11524,15273,368.8,359.9,50.0
11525,15273,374.9,359.77,50.0
11526,15273,381.0,359.63,50.0
11527,15273,387.09,359.5,50.0
11528,15273,395.63,359.91,49.0
11529,15274,0.0,361.61,44.0
11530,15274,42.67,4.61,44.5
11531,15274,158.49,3.31,38.5
11532,15274,182.88,361.31,45.0
11533,15274,225.55,361.31,38.5
11534,15274,277.36,3.91,34.5
11535,15275,0.0,182.53,65.0
11536,15275,15.24,182.97,66.0
11537,15275,21.33,183.24,66.0
11538,15275,27.43,183.5,65.0
11539,15275,33.52,183.76,66.0
11540,15275,39.62,184.03,66.0
11541,15275,45.72,184.29,65.0
11542,15275,51.81,184.56,65.0
11543,15275,57.91,184.82,63.0
11544,15275,64.0,185.09,64.0
11545,15275,70.1,185.35,63.0
11546,15275,76.2,185.61,62.0
11547,15275,82.29,185.88,63.0
11548,15275,88.39,186.14,62.0
11549,15275,94.48,186.41,62.0
11550,15275,100.58,186.67,62.0
11551,15275,106.68,186.93,61.0
11552,15275,112.77,187.2,62.0
11553,15275,118.87,187.46,62.0
11554,15275,124.96,187.73,61.0
11555,15275,131.06,187.99,61.0
11556,15275,137.16,188.26,61.0
11557,15275,143.25,188.52,61.0
11558,15275,149.35,188.78,61.0
11559,15275,155.44,189.05,61.0
11560,15275,161.54,190.11,62.0
11561,15275,167.64,189.06,61.0
11562,15275,173.73,188.81,60.0
11563,15275,179.83,188.56,59.0
11564,15275,185.92,188.31,59.0
11565,15275,192.02,188.06,58.0
11566,15275,198.12,187.81,57.0
11567,15275,204.21,187.56,58.0
11568,15275,210.31,187.31,58.0
11569,15275,216.4,187.06,58.0
11570,15275,222.5,186.81,58.0
11571,15275,228.6,186.56,58.0
11572,15275,234.69,186.31,60.0
11573,15275,240.79,186.24,58.0
11574,15275,246.88,186.17,58.0
11575,15275,252.98,186.1,57.0
11576,15275,259.08,186.04,56.0
11577,15275,265.17,185.97,56.0
11578,15275,271.27,185.9,57.0
11579,15275,277.36,185.83,56.0
