,Unnamed: 0,BHID,FROM,TO,LITHO_DESC,lithoID,_id0
2852,47340,18011,36.05,40.87,Intermediate to Ultramafic Volcanics,5.0,2852
2853,47341,18011,40.87,47.6,Intermediate to Ultramafic Volcanics,5.0,2853
2854,47342,18011,47.6,50.17,Felsic to Intermediate Dykes,3.0,2854
2855,47343,18011,50.17,52.65,Intermediate to Ultramafic Volcanics,5.0,2855
2856,47344,18011,52.65,65.65,Intermediate to Ultramafic Volcanics,5.0,2856
2857,47345,18011,65.65,68.61,Intermediate to Ultramafic Volcanics,5.0,2857
2858,47346,18011,68.61,69.52,Felsic to Intermediate Dykes,3.0,2858
2859,47347,18011,69.52,71.29,Intermediate to Ultramafic Volcanics,5.0,2859
2860,47348,18011,71.29,79.99,Intermediate to Ultramafic Volcanics,5.0,2860
2861,47349,18011,79.99,80.16,Intermediate to Ultramafic Volcanics,5.0,2861
2862,47350,18011,80.16,81.13,Felsic to Intermediate Dykes,3.0,2862
2863,47351,18011,81.13,83.27,Intermediate to Ultramafic Volcanics,5.0,2863
2864,47352,18011,83.27,90.0,Intermediate to Ultramafic Volcanics,5.0,2864
2865,47353,18012,0.0,16.36,Casing,1.0,2865
2866,47354,18012,16.36,16.7,Intermediate to Ultramafic Volcanics,5.0,2866
2867,47355,18012,16.7,22.75,Felsic to Intermediate Dykes,3.0,2867
2868,47356,18012,22.75,24.39,Intermediate to Ultramafic Volcanics,5.0,2868
2869,47357,18012,24.39,30.63,Diorite,2.0,2869
2870,47358,18012,30.63,34.09,Intermediate to Ultramafic Volcanics,5.0,2870
2871,47359,18012,34.09,36.89,Felsic to Intermediate Dykes,3.0,2871
2872,47360,18012,36.89,44.08,Intermediate to Ultramafic Volcanics,5.0,2872
2873,47361,18012,44.08,68.54,Intermediate to Ultramafic Volcanics,5.0,2873
2874,47362,18012,68.54,73.19,Felsic to Intermediate Dykes,3.0,2874
2875,47363,18012,73.19,73.74,Intermediate to Ultramafic Volcanics,5.0,2875
2876,47364,18012,73.74,73.89,Felsic to Intermediate Dykes,3.0,2876
2877,47365,18012,73.89,76.5,Intermediate to Ultramafic Volcanics,5.0,2877
2878,47366,18012,76.5,77.69,Felsic to Intermediate Dykes,3.0,2878
2879,47367,18012,77.69,78.76,Intermediate to Ultramafic Volcanics,5.0,2879
2880,47368,18012,78.76,79.27,Felsic to Intermediate Dykes,3.0,2880
2881,47369,18012,79.27,89.23,Intermediate to Ultramafic Volcanics,5.0,2881
2882,47370,18012,89.23,89.91,Felsic to Intermediate Dykes,3.0,2882
2883,47371,18013,0.0,22.25,Casing,1.0,2883
2884,47372,18013,22.25,27.61,Intermediate to Ultramafic Volcanics,5.0,2884
2885,47373,18013,27.61,29.77,Felsic to Intermediate Dykes,3.0,2885
2886,47374,18013,29.77,45.14,Intermediate to Ultramafic Volcanics,5.0,2886
2887,47375,18013,45.14,45.82,Felsic to Intermediate Dykes,3.0,2887
2888,47376,18013,45.82,66.33,Intermediate to Ultramafic Volcanics,5.0,2888
2889,47377,18013,66.33,74.03,Intermediate to Ultramafic Volcanics,5.0,2889
2890,47378,18013,74.03,75.22,Felsic to Intermediate Dykes,3.0,2890
2891,47379,18013,75.22,77.86,Intermediate to Ultramafic Volcanics,5.0,2891
2892,47380,18013,77.86,79.04,Felsic to Intermediate Dykes,3.0,2892
2893,47381,18013,79.04,90.0,Intermediate to Ultramafic Volcanics,5.0,2893
2894,47382,18014,0.0,19.5,Casing,1.0,2894
2895,47383,18014,19.5,27.52,Intermediate to Ultramafic Volcanics,5.0,2895
2896,47384,18014,27.52,27.96,Felsic to Intermediate Dykes,3.0,2896
2897,47385,18014,27.96,28.46,Intermediate to Ultramafic Volcanics,5.0,2897
2898,47386,18014,28.46,29.3,Felsic to Intermediate Dykes,3.0,2898
2899,47387,18014,29.3,32.43,Intermediate to Ultramafic Volcanics,5.0,2899
2900,47388,18014,32.43,33.31,Felsic to Intermediate Dykes,3.0,2900
2901,47389,18014,33.31,42.39,Intermediate to Ultramafic Volcanics,5.0,2901
2902,47390,18014,42.39,44.24,Shear Zone,4.0,2902
2903,47391,18014,44.24,46.16,Shear Zone,4.0,2903
2904,47392,18014,46.16,47.48,Intermediate to Ultramafic Volcanics,5.0,2904
