,AT,AZ,BHID,DIP,Unnamed: 0
310,39.62,184.03,15275,66.0,11540.0
311,45.72,184.29,15275,65.0,11541.0
312,51.81,184.56,15275,65.0,11542.0
313,57.91,184.82,15275,63.0,11543.0
314,64.0,185.09,15275,64.0,11544.0
315,70.1,185.35,15275,63.0,11545.0
316,76.2,185.61,15275,62.0,11546.0
317,82.29,185.88,15275,63.0,11547.0
318,88.39,186.14,15275,62.0,11548.0
319,94.48,186.41,15275,62.0,11549.0
320,100.58,186.67,15275,62.0,11550.0
321,106.68,186.93,15275,61.0,11551.0
322,112.77,187.2,15275,62.0,11552.0
323,118.87,187.46,15275,62.0,11553.0
324,124.96,187.73,15275,61.0,11554.0
325,131.06,187.99,15275,61.0,11555.0
326,137.16,188.26,15275,61.0,11556.0
327,143.25,188.52,15275,61.0,11557.0
328,149.35,188.78,15275,61.0,11558.0
329,155.44,189.05,15275,61.0,11559.0
330,161.54,190.11,15275,62.0,11560.0
331,167.64,189.06,15275,61.0,11561.0
332,173.73,188.81,15275,60.0,11562.0
333,179.83,188.56,15275,59.0,11563.0
334,185.92,188.31,15275,59.0,11564.0
335,192.02,188.06,15275,58.0,11565.0
336,198.12,187.81,15275,57.0,11566.0
337,204.21,187.56,15275,58.0,11567.0
338,210.31,187.31,15275,58.0,11568.0
339,216.4,187.06,15275,58.0,11569.0
340,222.5,186.81,15275,58.0,11570.0
341,228.6,186.56,15275,58.0,11571.0
342,234.69,186.31,15275,60.0,11572.0
343,240.79,186.24,15275,58.0,11573.0
344,246.88,186.17,15275,58.0,11574.0
345,252.98,186.1,15275,57.0,11575.0
346,259.08,186.04,15275,56.0,11576.0
347,265.17,185.97,15275,56.0,11577.0
348,271.27,185.9,15275,57.0,11578.0
349,277.36,185.83,15275,56.0,11579.0
350,283.46,185.76,15275,57.0,11580.0
351,289.56,185.69,15275,56.0,11581.0
352,295.65,185.62,15275,55.0,11582.0
353,301.75,185.55,15275,55.0,11583.0
354,307.84,185.48,15275,55.0,11584.0
355,313.94,185.42,15275,55.0,11585.0
356,323.08,185.91,15275,56.0,11586.0
357,329.18,185.52,15275,56.0,11587.0
358,335.28,185.73,15275,55.0,11588.0
359,341.37,185.94,15275,54.0,11589.0
360,347.47,186.15,15275,53.0,11590.0
361,356.61,186.47,15275,51.0,11591.0
362,362.71,186.68,15275,52.0,11592.0
363,371.85,187.0,15275,51.0,11593.0
364,377.95,187.21,15275,51.0,11594.0
365,381.0,188.01,15275,53.5,11595.0
366,384.04,187.28,15275,50.0,11596.0
367,390.14,187.23,15275,50.0,11597.0
368,396.24,187.18,15275,50.0,11598.0
369,402.33,187.12,15275,50.0,11599.0
370,408.43,187.07,15275,50.0,11600.0
371,414.52,187.02,15275,50.0,11601.0
372,420.62,186.96,15275,49.0,11602.0
373,426.72,186.91,15275,50.0,11603.0
374,432.81,186.86,15275,50.0,11604.0
375,438.91,186.8,15275,49.0,11605.0
376,445.0,186.75,15275,49.0,11606.0
377,451.1,186.69,15275,49.0,11607.0
378,457.2,186.64,15275,48.0,11608.0
379,463.29,186.59,15275,48.0,11609.0
380,469.39,186.53,15275,48.0,11610.0
381,475.48,186.48,15275,48.0,11611.0
382,481.58,186.43,15275,47.0,11612.0
383,487.68,186.37,15275,47.0,11613.0
384,493.77,186.32,15275,47.0,11614.0
385,494.53,186.31,15275,48.0,11615.0
386,0.0,182.28,15276,59.0,11616.0
387,12.19,181.48,15276,60.0,11617.0
388,15.24,181.52,15276,60.0,11618.0
389,21.33,181.6,15276,60.0,11619.0
390,24.38,181.65,15276,60.0,11620.0
391,30.48,181.73,15276,60.0,11621.0
392,36.57,181.81,15276,60.0,11622.0
393,42.67,181.9,15276,60.0,11623.0
394,51.81,182.02,15276,60.0,11624.0
395,60.96,182.15,15276,60.0,11625.0
396,67.05,182.23,15276,59.0,11626.0
397,73.15,182.91,15276,61.5,11627.0
398,76.2,182.4,15276,60.0,11628.0
399,82.29,182.58,15276,59.0,11629.0
400,88.39,182.77,15276,59.0,11630.0
401,94.48,182.95,15276,59.0,11631.0
402,100.58,183.13,15276,58.0,11632.0
403,106.68,183.31,15276,59.0,11633.0
404,112.77,183.49,15276,58.0,11634.0
405,121.92,183.77,15276,58.0,11635.0
406,128.01,183.95,15276,58.0,11636.0
407,134.11,184.13,15276,57.0,11637.0
408,140.2,184.31,15276,58.0,11638.0
409,146.3,184.49,15276,57.0,11639.0
410,152.4,184.68,15276,57.0,11640.0
411,158.49,184.86,15276,57.0,11641.0
412,164.59,185.04,15276,56.0,11642.0
413,170.68,185.22,15276,57.0,11643.0
414,176.78,185.4,15276,56.0,11644.0
415,182.88,185.58,15276,56.0,11645.0
416,188.97,185.77,15276,55.0,11646.0
417,195.07,185.95,15276,54.0,11647.0
418,204.21,186.22,15276,54.0,11648.0
419,210.31,186.4,15276,54.0,11649.0
420,216.4,186.58,15276,53.0,11650.0
421,222.5,186.77,15276,53.0,11651.0
422,228.6,186.95,15276,53.0,11652.0
423,234.69,187.13,15276,53.0,11653.0
424,240.79,187.31,15276,53.0,11654.0
425,246.88,187.22,15276,53.0,11655.0
426,252.98,187.13,15276,52.0,11656.0
427,259.08,187.04,15276,54.0,11657.0
428,265.17,186.94,15276,54.0,11658.0
429,271.27,186.85,15276,54.0,11659.0
430,277.36,186.76,15276,53.0,11660.0
431,283.46,186.67,15276,54.0,11661.0
432,289.56,186.58,15276,54.0,11662.0
433,295.65,186.48,15276,53.0,11663.0
434,301.75,186.39,15276,53.0,11664.0
435,307.84,186.3,15276,53.0,11665.0
436,313.94,186.21,15276,53.0,11666.0
437,320.04,186.12,15276,53.0,11667.0
438,326.13,186.02,15276,52.0,11668.0
439,332.23,185.93,15276,52.0,11669.0
440,338.32,185.84,15276,52.0,11670.0
441,344.42,185.75,15276,52.0,11671.0
442,373.38,185.91,15276,49.0,11672.0
443,423.67,183.11,15276,47.0,11673.0
444,0.0,183.34,15277,59.0,11674.0
445,21.33,184.58,15277,55.0,11675.0
446,27.43,184.95,15277,55.0,11676.0
447,33.52,185.31,15277,55.0,11677.0
448,42.67,185.86,15277,54.0,11678.0
449,48.76,186.22,15277,54.0,11679.0
450,54.86,186.58,15277,54.0,11680.0
451,57.91,186.77,15277,54.0,11681.0
452,64.0,187.13,15277,54.0,11682.0
453,70.1,187.49,15277,54.0,11683.0
454,76.2,187.86,15277,54.0,11684.0
455,82.29,188.22,15277,53.0,11685.0
456,88.39,188.58,15277,53.0,11686.0
457,94.48,188.95,15277,53.0,11687.0
458,100.58,189.31,15277,53.4,11688.0
459,103.63,189.27,15277,53.0,11689.0
460,109.72,189.19,15277,53.0,11690.0
461,176.78,188.32,15277,50.0,11691.0
462,179.83,188.28,15277,51.0,11692.0
463,185.92,188.2,15277,50.0,11693.0
464,192.02,188.12,15277,49.0,11694.0
465,198.12,188.04,15277,49.0,11695.0
466,204.21,187.96,15277,48.0,11696.0
467,210.31,187.88,15277,48.0,11697.0
468,216.4,187.8,15277,47.0,11698.0
469,228.6,187.64,15277,45.0,11699.0
470,234.69,187.56,15277,44.0,11700.0
471,240.79,187.48,15277,45.0,11701.0
472,246.88,187.4,15277,45.0,11702.0
473,252.98,187.32,15277,45.0,11703.0
474,253.89,187.31,15277,46.0,11704.0
475,259.08,187.02,15277,44.0,11705.0
476,265.17,186.67,15277,44.0,11706.0
477,271.27,186.32,15277,44.0,11707.0
478,274.32,186.14,15277,43.0,11708.0
479,280.41,185.8,15277,43.0,11709.0
480,286.51,185.45,15277,44.0,11710.0
481,292.6,185.1,15277,43.0,11711.0
482,298.7,184.75,15277,43.0,11712.0
483,304.8,184.4,15277,44.0,11713.0
484,310.89,184.05,15277,43.0,11714.0
485,316.99,183.71,15277,42.0,11715.0
486,323.08,183.36,15277,43.0,11716.0
487,329.18,183.01,15277,39.0,11717.0
488,338.32,182.49,15277,39.0,11718.0
489,341.37,183.01,15277,40.7,11719.0
490,347.47,182.31,15277,39.0,11720.0
491,353.56,182.31,15277,39.0,11721.0
492,362.71,182.31,15277,39.0,11722.0
493,368.8,182.31,15277,38.0,11723.0
494,374.9,182.31,15277,39.0,11724.0
495,381.0,182.31,15277,38.0,11725.0
496,387.09,182.31,15277,38.0,11726.0
497,393.19,182.31,15277,38.0,11727.0
498,399.28,182.31,15277,38.0,11728.0
499,405.38,182.31,15277,37.0,11729.0
500,411.48,182.31,15277,37.0,11730.0
501,417.57,182.31,15277,37.0,11731.0
502,423.67,183.01,15277,37.0,11732.0
503,0.0,173.31,16,45.0,13304.0
504,30.48,173.31,16,48.0,13305.0
505,60.96,173.31,16,44.0,13306.0
506,0.0,360.94,16037,67.0,13370.0
507,30.48,361.89,16037,67.0,13371.0
508,60.96,2.83,16037,67.0,13372.0
509,118.56,4.61,16037,66.0,13373.0
510,121.92,4.55,16037,65.0,13374.0
511,182.88,3.37,16037,65.0,13375.0
512,222.19,2.61,16037,66.0,13376.0
513,304.8,7.72,16037,64.0,13377.0
514,306.32,7.81,16037,64.5,13378.0
515,365.76,5.41,16037,62.0,13379.0
516,405.38,3.81,16037,64.2,13380.0
517,426.72,4.68,16037,64.0,13381.0
518,487.68,7.15,16037,61.5,13382.0
519,489.2,7.21,16037,64.12,13383.0
520,0.0,361.43,16038,67.25,13384.0
521,30.48,361.13,16038,68.0,13385.0
522,118.87,360.25,16038,68.0,13386.0
523,131.06,360.13,16038,67.3,13387.0
524,152.4,361.07,16038,68.0,13388.0
525,213.36,3.76,16038,66.0,13389.0
526,231.64,4.56,16038,64.8,13390.0
527,274.32,4.45,16038,62.0,13391.0
528,327.66,4.31,16038,62.7,13392.0
529,335.28,4.42,16038,61.5,13393.0
530,396.24,5.28,16038,61.0,13394.0
531,413.0,5.51,16038,62.5,13395.0
532,457.2,7.75,16038,60.0,13396.0
533,466.34,8.21,16038,61.5,13397.0
534,0.0,4.04,16039,67.78,13398.0
535,30.48,3.34,16039,66.0,13399.0
536,91.44,361.95,16039,65.0,13400.0
537,92.96,361.91,16039,66.4,13401.0
538,152.4,2.76,16039,64.5,13402.0
539,204.21,3.51,16039,66.0,13403.0
540,213.36,3.64,16039,64.5,13404.0
541,274.32,4.51,16039,64.0,13405.0
542,309.37,5.01,16039,65.5,13406.0
543,335.28,4.65,16039,63.0,13407.0
544,396.24,3.79,16039,64.0,13408.0
545,416.05,3.51,16039,65.0,13409.0
546,457.2,4.11,16039,62.0,13410.0
547,484.63,4.51,16039,64.5,13411.0
548,0.0,2.31,16230,68.0,13879.0
549,36.57,2.31,16230,66.0,13880.0
550,56.69,2.31,16230,66.0,13881.0
551,0.0,2.31,16231,90.0,13882.0
552,32.3,2.31,16231,89.0,13883.0
553,62.78,2.31,16231,90.0,13884.0
554,81.07,2.31,16231,90.0,13885.0
555,0.0,2.31,16232,63.0,13886.0
556,25.48,2.31,16232,62.0,13887.0
557,0.0,2.31,16233,53.0,13888.0
558,30.48,2.31,16233,55.0,13889.0
559,47.0,2.31,16233,55.0,13890.0
560,0.0,2.31,16234,64.0,13891.0
561,30.48,2.31,16234,64.0,13892.0
562,60.96,2.31,16234,65.0,13893.0
563,91.44,2.31,16234,64.0,13894.0
564,106.68,2.31,16234,64.0,13895.0
565,0.0,182.31,16235,88.0,13896.0
566,30.48,182.31,16235,88.0,13897.0
567,46.69,182.31,16235,86.0,13898.0
568,0.0,2.31,16236,53.0,13899.0
569,30.48,2.31,16236,55.0,13900.0
570,60.96,2.31,16236,57.0,13901.0
571,76.2,2.31,16236,58.0,13902.0
572,0.0,182.31,16237,84.0,13903.0
573,30.48,182.31,16237,84.0,13904.0
574,60.96,182.31,16237,84.0,13905.0
575,0.0,182.31,16238,85.0,13906.0
576,30.48,182.31,16238,85.0,13907.0
577,60.96,182.31,16238,86.0,13908.0
578,0.0,2.31,16239,45.0,13909.0
579,30.48,2.31,16239,45.0,13910.0
580,60.96,2.31,16239,46.0,13911.0
581,85.34,2.31,16239,46.0,13912.0
582,0.0,182.31,16240,86.0,13914.0
583,30.48,182.31,16240,85.0,13915.0
584,53.34,182.31,16240,85.0,13916.0
585,0.0,2.31,16241,66.0,13917.0
586,30.48,2.31,16241,65.0,13918.0
587,60.96,2.31,16241,66.0,13919.0
588,91.44,2.31,16241,67.0,13920.0
589,108.2,2.31,16241,67.0,13921.0
590,0.0,2.31,16242,90.0,13922.0
591,30.48,2.31,16242,87.0,13923.0
592,60.96,2.31,16242,87.0,13924.0
593,91.44,2.31,16242,87.0,13925.0
594,106.98,2.31,16242,87.0,13926.0
595,0.0,2.31,16243,43.0,13927.0
596,30.48,2.31,16243,43.0,13928.0
597,0.0,182.31,16244,82.0,13929.0
598,30.48,182.31,16244,82.0,13930.0
599,0.0,2.31,16246,45.0,13931.0
600,30.48,2.31,16246,44.0,13932.0
601,60.96,2.31,16246,43.0,13933.0
602,0.0,182.31,16247,62.0,13934.0
603,30.48,182.31,16247,62.0,13935.0
604,60.96,182.31,16247,62.0,13936.0
605,76.5,182.31,16247,62.0,13937.0
606,76.71,182.31,16247,62.0,13938.0
607,0.0,2.31,16295,60.0,14183.0
608,30.48,2.31,16295,57.0,14184.0
609,50.04,2.31,16295,59.0,14185.0
