,Unnamed: 0,BHID,FROM,TO,LITHO_DESC
2904,47392,18014,46.16,47.48,Intermediate to Ultramafic Volcanics
2905,47393,18014,47.48,48.34,Intermediate to Ultramafic Volcanics
2906,47394,18014,48.34,60.06,Intermediate to Ultramafic Volcanics
2907,47395,18014,60.06,73.22,Intermediate to Ultramafic Volcanics
2908,47396,18014,73.22,92.65,Intermediate to Ultramafic Volcanics
2909,47434,18018,0.0,25.87,Casing
2910,47435,18018,25.87,28.4,Early Diorite
2911,47436,18018,28.4,32.09,Intermediate to Ultramafic Volcanics
2912,47437,18018,32.09,37.53,Felsic to Intermediate Dykes
2913,47438,18018,37.53,63.96,Intermediate to Ultramafic Volcanics
2914,47439,18018,63.96,68.68,Intermediate to Ultramafic Volcanics
2915,47440,18018,68.68,75.01,Intermediate to Ultramafic Volcanics
2916,47441,18018,75.01,78.71,Felsic to Intermediate Dykes
2917,47442,18018,78.71,90.0,Intermediate to Ultramafic Volcanics
2918,47443,18019,0.0,14.99,Casing
2919,47444,18019,14.99,47.7,Intermediate to Ultramafic Volcanics
2920,47451,18020,0.0,11.46,Casing
2921,47452,18020,11.46,21.59,Intermediate to Ultramafic Volcanics
2922,47453,18020,21.59,38.22,Felsic to Intermediate Dykes
2923,47454,18020,38.22,42.36,Early Diorite
2924,47455,18020,42.36,48.0,Early Diorite
2925,47462,18024,0.0,8.99,Casing
2926,47463,18024,8.99,22.03,Intermediate to Ultramafic Volcanics
2927,47464,18024,22.03,25.35,Early Diorite
2928,47465,18024,25.35,44.85,Felsic to Intermediate Dykes
2929,47466,18024,44.85,50.29,Intermediate to Ultramafic Volcanics
2930,47467,18025,0.0,9.23,Casing
2931,47468,18025,9.23,15.11,Early Diorite
2932,47469,18025,15.11,22.76,Intermediate to Ultramafic Volcanics
2933,47470,18025,22.76,24.56,Early Diorite
2934,47471,18025,24.56,30.69,Intermediate to Ultramafic Volcanics
2935,47472,18025,30.69,37.09,Early Diorite
2936,47473,18025,37.09,40.38,Shear Zone
2937,47474,18025,40.38,42.48,Intermediate to Ultramafic Volcanics
2938,47475,18026,0.0,10.42,Casing
2939,47476,18026,10.42,14.02,Intermediate to Ultramafic Volcanics
2940,47477,18026,14.02,16.7,Early Diorite
2941,47478,18026,16.7,23.37,Felsic to Intermediate Dykes
2942,47479,18026,23.37,30.46,Early Diorite
2943,47480,18026,30.46,30.83,Felsic to Intermediate Dykes
2944,47481,18026,30.83,54.34,Intermediate to Ultramafic Volcanics
2945,47482,18026,54.34,55.41,Felsic to Intermediate Dykes
2946,47483,18026,55.41,55.61,Intermediate to Ultramafic Volcanics
2947,47484,18026,55.61,57.08,Diorite
2948,47485,18026,57.08,61.21,Felsic to Intermediate Dykes
2949,47486,18026,61.21,66.75,Intermediate to Ultramafic Volcanics
2950,47487,18026,66.75,67.6,Intermediate to Ultramafic Volcanics
2951,47488,18026,67.6,68.21,Felsic to Intermediate Dykes
2952,47489,18026,68.21,73.09,Intermediate to Ultramafic Volcanics
2953,47490,18026,73.09,74.08,Shear Zone
2954,47491,18026,74.08,75.81,Felsic to Intermediate Dykes
2955,47492,18026,75.81,76.27,Shear Zone
2956,47493,18026,76.27,76.56,Intermediate to Ultramafic Volcanics
2957,47494,18026,76.56,77.57,Intermediate to Ultramafic Volcanics
2958,47495,18026,77.57,80.58,Intermediate to Ultramafic Volcanics
2959,47496,18026,80.58,81.19,Shear Zone
2960,47497,18026,81.19,90.0,Intermediate to Ultramafic Volcanics
2961,47498,18027,0.0,14.88,Casing
2962,47499,18027,14.88,15.78,Quartz-Tourmaline Veins
2963,47500,18027,15.78,16.0,Intermediate to Ultramafic Volcanics
2964,47501,18027,16.0,23.31,Intermediate to Ultramafic Volcanics
2965,47502,18027,23.31,24.87,Early Diorite
2966,47503,18027,24.87,31.45,Intermediate to Ultramafic Volcanics
2967,47504,18027,31.45,33.31,Early Diorite
2968,47505,18027,33.31,75.01,Intermediate to Ultramafic Volcanics
2969,47506,18028,0.0,5.21,Casing
2970,47507,18028,5.21,9.72,Early Diorite
2971,47508,18028,9.72,14.54,Diorite
2972,47509,18028,14.54,19.91,Early Diorite
2973,47510,18028,19.91,20.83,Intermediate to Ultramafic Volcanics
2974,47511,18028,20.83,21.06,Diorite
2975,47512,18028,21.06,21.19,Intermediate to Ultramafic Volcanics
2976,47513,18028,21.19,32.49,Early Diorite
2977,47555,18033,0.0,4.17,Casing
2978,47556,18033,4.17,7.98,Intermediate to Ultramafic Volcanics
2979,47557,18033,7.98,18.19,Diorite
2980,47558,18033,18.19,21.0,Intermediate to Ultramafic Volcanics
2981,47559,18034,0.0,5.18,Casing
2982,47560,18034,5.18,5.39,Early Diorite
2983,47561,18034,5.39,10.1,Intermediate to Ultramafic Volcanics
2984,47562,18034,10.1,11.67,Early Diorite
2985,47563,18034,11.67,14.44,Early Diorite
2986,47564,18034,14.44,16.12,Early Diorite
2987,47565,18034,16.12,18.98,Early Diorite
2988,47566,18035,0.0,3.53,Casing
2989,47567,18035,3.53,5.66,Intermediate to Ultramafic Volcanics
2990,47568,18035,5.66,17.26,Diorite
2991,47569,18035,17.26,18.01,Intermediate to Ultramafic Volcanics
